,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
18,14.5%,"Primitivo di Manduria, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"This is a vibrant Primitivo that sees time in glass-lined cement tanks, highlighting the delightfully fresh profile of the grape. Bright red berries, mentholated herbs, violets and spice frame the nose and palate, while zesty acidity and a firm grip of fine-grained tannins give it support.",Triusco,Montcalm Wine Importers,Rivera 2016 Triusco  (Primitivo di Manduria),$26, Southern Italy,90,Primitivo di Manduria,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2016,Rivera
19,14%,"Primitivo di Manduria, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Integrated aromas of dark cherry coulis, blackberry, cracked pepper and violet carry the nose. Flavors of fleshy thick-skinned berries meet a slick of tangy granite on the palate, with juicy acidity and pulverized yet enveloping tannins propping it up.",Il Rosso dei Vespa,Ethica Wines,Vespa 2016 Il Rosso dei Vespa  (Primitivo di Manduria),$35, Southern Italy,90,Primitivo di Manduria,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2016,Vespa
20,14.5%,"Primitivo di Manduria, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"A dense nose of black cherry coulis and plum meets highlights of earth and violet. There's good energy to the palate, with ripe, juicy plum and blackberry flavors propelled along a tangy current of crushed stone. There's a firm hug of tannins from start to finish.",Imperio LXXIV,Monsieur Touton Selection Ltd,Feudo Croce 2016 Imperio LXXIV  (Primitivo di Manduria),$24, Southern Italy,90,Primitivo di Manduria,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2016,Feudo Croce
21,15.2%,"Lodi, Central Valley, California, US",750 ml,Red, US,4/1/2019,"This supple medium-bodied offering from an international brand is a terrific value. It supports pure ripe fruit flavors on a velvety texture of light tannins and mild acidity. It tastes focused, feels balanced and leaves you wanting another sip.",Old Vine,,Rubus 2016 Old Vine Zinfandel (Lodi),$13, California,90, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Zinfandel,2016,Rubus
22,15.8%,"Livermore Valley, Central Coast, California, US",750 ml,Red, US,4/1/2019,"This wine, containing 15% Merlot, is unapologetically oaky, but the oakiness is well integrated with ripe berry and black-cherry flavors. It starts with aromas of cedar, pencil shavings and toast, segues to spicy, almost floral flavors and an oak-spice accent lingers on the finish.",Peacock Patch Reserve,,Ruby Hill Winery 2015 Peacock Patch Reserve Zinfandel (Livermore Valley),$29, California,90, Central Coast,Jim Gordon,@gordone_cellars,Livermore Valley,Not rated yet [Add Your Review],Zinfandel,2015,Ruby Hill Winery
23,16.5%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"This massive style of Primitivo offers dense black plum and blackberry on the nose, with shades of baking spice and violet. There's a rich density of thick-skinned black fruit on the full-bodied palate, propped up by shots of tart cranberry and bracing tannins. Drink from 2023.",Es,LLS–Winebow,Gianfranco Fino 2016 Es Primitivo (Salento),$100, Southern Italy,90,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2016,Gianfranco Fino
24,15.5%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"High-toned aromas of spiced raspberry and cherry mingle with a mix of mentholated herbs and violets. The medium-bodied palate is smooth and velvety in feel, supported by tangy acidity and luscious red berry and plum flavors that extend to the lingering, savory finish.",Centosassi,"Noble Harvest, LLC",Amastuola 2012 Centosassi Primitivo (Puglia),$20, Southern Italy,90,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2012,Amastuola
25,16%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,4/1/2019,"Fruit-forward aromas pop, with notes of raspberry jam, cranberry, herb and mint. Sweet, ripe, full-bodied fruit flavors follow and lead to a warm finish. It's a cold weather warmer if ever there was one and a lot of wine for the money.",,,City Limits 2016 Zinfandel (Columbia Valley (WA)),$18, Washington,89, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Zinfandel,2016,City Limits
26,14.5%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"This is a bright, enjoyable wine that displays lots of racy raspberry and strawberry tones on the nose and palate, with a shading of sweet barrel spice in the background. It's firmly medium in weight, with soft tannins and firm acidity that help extend a tangy mineral core. Drink now.",Don Antonio,Wine 4 All,Coppi 2015 Don Antonio Primitivo (Puglia),$18, Southern Italy,89,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2015,Coppi
27,14.5%,"California, California Other, California, US",750 ml,Red, US,4/1/2019,"This is a fun, fruity wine with all the exuberant qualities of the varietal. Fresh raspberry and red-cherry aromas lead to ripe, almost jammy raspberry and blackberry flavors while full body and a just-slightly grippy texture add to the mouthfeel.",,,Renwood 2016 Zinfandel (California),$15, California,89, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
28,13.5%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"A bright nose of red cherry and plum is met with a coating of baking spice and game. This is a light, zesty style of the grape with juicy red fruit flavors that are enveloped in a sheen of sweet spice. Drink now.",Critèra,Massanois Imports,Schola Sarmenti 2016 Critèra Primitivo (Salento),$22, Southern Italy,89,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2016,Schola Sarmenti
29,17.1%,"Lodi, Central Valley, California, US",750 ml,Red, US,4/1/2019,"This full-throttle wine has a deep dark color, heady oak, smoke and cedar aromas, extra-ripe fruit flavors and a full body. It has just enough tannin for a little grip and to focus the generous black-fruit flavors.",Naci Ocevi Black Label Nasi Ocevi Vineyard,,Jeremy Wine Co 2016 Naci Ocevi Black Label Nasi Ocevi Vineyard Zinfandel (Lodi),$42, California,89, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Zinfandel,2016,Jeremy Wine Co
30,15.9%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,4/1/2019,"This is a big and well-made Zinfandel, good for those who love the unabashedly ripe yet not cloying style. Aromas of smoked strawberry, red currant and cranberry syrup lead into a palate that is plush with strawberry sorbet and chalky tannins.",Mountain,,Opolo 2017 Mountain Zinfandel (Paso Robles),$29, California,89, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Zinfandel,2017,Opolo
31,14.5%,"Fiddletown, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"Fruity, ripe and soft, this wine is chock-full of expressive, jammy, berry and plum flavors, has mild tannins and low acidity. It feels easy and soothing on the palate.",Special Reserve,,Renwood 2016 Special Reserve Zinfandel (Fiddletown),$50, California,89, Sierra Foothills,Jim Gordon,@gordone_cellars,Fiddletown,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
32,14.7%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,4/1/2019,"The nose on this bottling is quite focused on the loamy soil aspects, but there is also a fruity touch of black cherry. The tannins are well polished on the palate, allowing the black-plum, nutmeg and clove flavors to take center stage.",Wheelhouse,,Sextant 2016 Wheelhouse Zinfandel (Paso Robles),$24, California,89, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Zinfandel,2016,Sextant
33,14.5%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"This full-bodied, ripe and spicy wine shows plenty of blackberry and black pepper in the aromas and flavors, while filling the mouth with a broad, soft texture.",Estate,,Andis 2015 Estate Zinfandel (Amador County),$25, California,89, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2015,Andis
34,14%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Zesty aromas of spicy red berries and plums mix with gentle pink peppercorn and Mediterranean herbs on the nose. There's a pleasing richness to the thick-skinned berry flavors on the palate, yet tangy granite, slicks of acidity and bracing tannins offer a fine counterbalance.",,LLS–Winebow,Botromagno 2016 Primitivo (Puglia),$19, Southern Italy,89,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2016,Botromagno
35,15.5%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,4/1/2019,"Fire-roasted strawberries, hickory, soft clove and baking-spice aromas show on the nose of this bottling. The smoky aspects carry to the juicy and ripe palate, where roasted cherries and berries are spiced by vanilla and framed with noticeable tannins.",Summit Creek,,Opolo 2017 Summit Creek Zinfandel (Paso Robles),$19, California,89, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Zinfandel,2017,Opolo
36,14%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"There's a good amount of fruit to this wine, but accents of spice and herb bringing a pleasing balance. It's juicy in feel but well textured, with proper tannins offering support while a tangy mineral vein cleans it all up.",,Montcalm Wine Importers,Rivera 2017 Primitivo (Salento),$16, Southern Italy,88,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2017,Rivera
37,14.9%,"Suisun Valley, North Coast, California, US",750 ml,Red, US,4/1/2019,"Dried-fruit aromas and rich sweet-seeming fruit flavors give this full-bodied wine an almost syrupy character, while very soft acidity and low tannins contribute to the wine's unctuous style.",,,Vezer Family Vineyard 2014 Zinfandel (Suisun Valley),$49, California,88, North Coast,Jim Gordon,@gordone_cellars,Suisun Valley,Not rated yet [Add Your Review],Zinfandel,2014,Vezer Family Vineyard
38,15.5%,"Lodi, Central Valley, California, US",750 ml,Red, US,4/1/2019,"This red wine has the classic wild berry and briar character of the varietal, along with a veneer of baking spices and cream that sweetens its flavors. It is full bodied, light in tannins and soft in terms of acidity.",Cigar Old Vine,,Cosentino 2017 Cigar Old Vine Zinfandel (Lodi),$20, California,88, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Zinfandel,2017,Cosentino
39,14%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Ripe aromas of raspberry and blackberry are dotted with black pepper and violet on the nose of this accessible red. There's a solid feel to the medium-bodied palate, with a thick-skinned berry flavor that meets more spice and earth tones. Sandy tannins offer support while racy acidity maintains verve.",Il Bruno dei Vespa,Ethica Wines,Vespa 2017 Il Bruno dei Vespa Primitivo (Salento),$20, Southern Italy,88,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2017,Vespa
40,14.7%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"This is a good, approachable, weekday wine that offers plenty of fresh raspberry and blackberry flavors, a full body but a rather soft tannic texture.",,,Andis 2016 Zinfandel (Amador County),$25, California,87, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2016,Andis
41,14%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Medium-ruby in color with an opaque core, this wine is reticent in aromas of thick-skinned black berries, rubber and baking spice. The medium-bodied palate offers honed acidity and pulverized tannins that give support to ripe, bouncy flavors of blackberry and dark cherry. Vanilla marks the short finish.",Da Uve Leggermente Appassito,Woodenships Wines,Masso Antico 2015 Da Uve Leggermente Appassito Primitivo (Salento),$10, Southern Italy,87,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2015,Masso Antico
42,16.2%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,4/1/2019,Ripe aromas of strawberry and black plum trend toward syrup but are lifted with purple-flower aromas. The violet-like palate is pleasant but really thick and nearly sweet.,Estate,,Vintage Cowboy 2015 Estate Zinfandel (Paso Robles),$23, California,87, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Zinfandel,2015,Vintage Cowboy
43,14%,"Lodi, Central Valley, California, US",750 ml,Red, US,4/1/2019,"This medium-bodied wine has a flinty, earthy aroma, spicy woody flavors and a hint of black pepper. Juicy raspberry and blackberry flavors reside at the core.",Estate Grown,,McManis 2017 Estate Grown Zinfandel (Lodi),$12, California,87, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Zinfandel,2017,McManis
44,14%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"This organic Primitivo offers a spice-driven nose of sweet tobacco leaf and peppercorn, with enticing berry scents at the core. It's light and zesty in feel, with loads of tart berry flavors on the palate and a tangy mineral vein. Drink now for immediate enjoyment.",Organic,"Noble Harvest, LLC",Amastuola 2015 Organic Primitivo (Puglia),$12, Southern Italy,87,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2015,Amastuola
45,14.5%,"California, California Other, California, US",750 ml,Red, US,4/1/2019,"This is a good grippy wine that's moderate in fruit flavor, medium to full bodied and has a lightly tannic mouthfeel. With plum, raspberry and sweet-oak aromas and flavors it's nicely rich on the palate.",BBQ,,Renwood 2016 BBQ Zinfandel (California),$15, California,87, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
46,14.6%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,4/1/2019,"Blackberry and roasted aromas of hickory and cherry wood show on the nose of this bottling. It's quite juicy and ripe on the jammy palate, but there is strong spice to level the fruit.",,,Twisted Paso 2016 Zinfandel (Paso Robles),$20, California,87, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Zinfandel,2016,Twisted Paso
47,14%,"Lodi, Central Valley, California, US",750 ml,Red, US,4/1/2019,"A strong oak perfume leads to intensely floral, oaky flavors and a core of fruit-concentrate in this full-bodied wine. It is flashy, extroverted and spicy.",Old Vine,,Cline 2017 Old Vine Zinfandel (Lodi),$11, California,87, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Zinfandel,2017,Cline
48,15%,"Lodi, Central Valley, California, US",750 ml,Red, US,4/1/2019,"This ripe and oaky wine starts with plummy, sweet and spicy aromas, then floods the palate with ripe flavors of dried plums and sweet cherries. It is full bodied but soft in texture.",Reserve Old Vine,,Ironstone 2016 Reserve Old Vine Zinfandel (Lodi),$25, California,87, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Zinfandel,2016,Ironstone
49,13.5%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Broad aromas of raspberry and cranberry meld with floral highlights in this approachable Primitivo. It's light in feel, with a juicy texture and fruity nature that makes this easy to like. Chalky tannins and tangy acidity offer good balance to all that fruit.",Lilith,Vine Street Imports,Poggio Anima 2017 Lilith Primitivo (Salento),$15, Southern Italy,87,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2017,Poggio Anima
50,15.5%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"There's an opaque, inky core to this wine that starts off with jammy plum and raspberry aromas, mixing with a sheen of iodine and spice. Initially, it's thick in feel on the palate, with flavors of prune, raisin and dried leaves, yet superracy acidity and bracing tannins roll across to clean it up.",Se,LLS–Winebow,Gianfranco Fino 2016 Se Primitivo (Salento),$73, Southern Italy,87,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2016,Gianfranco Fino
51,15%,"Primitivo di Manduria, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Showing a bit of age on the nose, this wine offers a condensed aroma of blackberry paste, anise and game. Medium-grained tannins and tangy acidity frame a dried berry flavor, with a gamy spice note pervading through the finish.",Raccontami,Ethica Wines,Vespa 2015 Raccontami  (Primitivo di Manduria),$55, Southern Italy,87,Primitivo di Manduria,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2015,Vespa
52,15.9%,"California, California Other, California, US",750 ml,Red, US,4/1/2019,"An aroma of smoked meat leads to very ripe, almost-sweet fruit flavors and plenty of oaky cedary cinnamony elements that give it a syrupy impression.",,,Rombauer 2016 Zinfandel (California),$35, California,86, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Zinfandel,2016,Rombauer
53,16%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of condensed strawberry jam, prune and dried leaves lead to the medium- to full-bodied palate. It's ripe and thick in feel, with desperate shots of acidity alongside finely grained but copious tannins.",Eleghènze,SPW Importers,Madia 2012 Eleghènze Primitivo (Puglia),$50, Southern Italy,86,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2012,Madia
54,15.1%,"Lodi, Central Valley, California, US",750 ml,Red, US,4/1/2019,"This wine has a touch of matchstick on first whiff, and brings a combo of fruit, spice and flint aromas followed by straightforward fruit and light oak notes. Medium body and light tannins complete the picture.",Old Vine,,Jeremy Wine Co 2016 Old Vine Zinfandel (Lodi),$20, California,86, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Zinfandel,2016,Jeremy Wine Co
55,14.5%,"California, California Other, California, US",750 ml,Red, US,4/1/2019,"Fairly ripe and extracted aromas of blackberry jam, caramel sauce and coffee syrup show on the nose of this bottling. It is superripe and jammy and cooked on the palate, which is thick, extracted and fairly tannic.",,,Paris Valley Road 2016 Zinfandel (California),$18, California,85, California Other,Matt Kettmann,@mattkettmann,California,Not rated yet [Add Your Review],Zinfandel,2016,Paris Valley Road
56,14%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Aromas and flavors of orange peel, herbs and crushed blackberry meld with a leafy undertone in this wine. There's a thick feel to the palate, with tannins that build from start to finish.",,Deutsch Family Wine and Spirits,Forte Incanto 2017 Primitivo (Salento),$13, Southern Italy,85,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2017,Forte Incanto
57,15%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of grilled berries, charred meat and a splash of orange zest mark this ripe wine. The medium-bodied palate offers a thick blackberry flavor marked by dried leaves and orange, with disparate shots of zesty acidity and a medium tannic grip.",Terragnolo,Montcalm Wine Importers,Apollonio 2013 Terragnolo Primitivo (Salento),$24, Southern Italy,85,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2013,Apollonio
58,15%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Odd aromas of salt and potato chips meld with a ripe berry core. A flavor of thick black-cherry skins has a tart and tannic edge on the palate, giving this a rather harsh profile.",Femìgghje,SPW Importers,Madia 2013 Femìgghje Primitivo (Puglia),$28, Southern Italy,84,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2013,Madia
