,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
11,13.8%,"Paso Robles Willow Creek District, Central Coast, California, US",750 ml,White, US,4/1/2019,"Tightly wound aromas of lime blossom and chalk lead into ripe pear flesh on the nose of this bottling by a winery based in Texas. There is good zip to the sip and a compelling texture, delivering flavors of Gravenstein apple and pear",Captivating,,Heath Vineyards 2017 Captivating Sauvignon Blanc (Paso Robles Willow Creek District),$45, California,89, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles Willow Creek District,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Heath Vineyards
12,13%,"Mendocino County, Mendocino County, California, US",750 ml,White, US,4/1/2019,"It's not flashy or superfruity, but this light-bodied wine has good, clean citrus flavors, crisp balance and a nicely brisk texture. It is nicely dry, appetizing and straightforward.",,,Heron 2017 Sauvignon Blanc (Mendocino County),$13, California,89, Mendocino County,Jim Gordon,@gordone_cellars,Mendocino County,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Heron
13,13%,"California, California Other, California, US",750 ml,White, US,4/1/2019,"Appealing and refreshing, this medium-bodied wine combines bright and fresh citrus and apple aromas with crisp, fairly ripe fruit flavors and lively acidity for good balance.",,,Pomelo 2017 Sauvignon Blanc (California),$14, California,88, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Pomelo
14,11.5%,"Galilee, Israel",750 ml,White, Israel,4/1/2019,"Pale straw in the glass, this wine has a nose of pink grapefruit and just-cut grass. Flavors of soft peach, green apple and white peppercorn wash across the palate before heading into a light pear-scented finish.",,Palm Bay International,Recanati 2017 Sauvignon Blanc (Galilee),$15,Galilee,88,,Mike DeSimone,@worldwineguys,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Recanati
15,13%,"Napa Valley, Napa, California, US",750 ml,White, US,4/1/2019,"This crisp white is grassy and herbal in pea shoots, with fresh fleshy layers of lemon peel that refresh the palate. Light in style and approach, it's well made and good value.",,,Starmont 2017 Sauvignon Blanc (Napa Valley),$19, California,88, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Starmont
16,13.5%,"North Coast, North Coast, California, US",750 ml,White, US,4/1/2019,"Bright and lively, this wine offers plenty of fruit flavors and refreshing acidity. It has citrus and green-apple flavors, a crisp mouthfeel and clean finish.",Uncaged,,Z. Alexander Brown 2017 Uncaged Sauvignon Blanc (North Coast),$18, California,88, North Coast,Jim Gordon,@gordone_cellars,North Coast,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Z. Alexander Brown
17,13.5%,"Monterey County, Central Coast, California, US",750 ml,White, US,4/1/2019,"Light in the glass, this bottling shows aromas of citrus tang, dried mango and cooked nuts. It's broad and ripe on the palate with apple-juice and lime-zest flavors.",,,Puma Road 2017 Sauvignon Blanc (Monterey County),$25, California,87, Central Coast,Matt Kettmann,@mattkettmann,Monterey County,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Puma Road
18,14%,"Los Olivos District, Central Coast, California, US",750 ml,White, US,4/1/2019,"There's an intriguing and atypical streak of sour grass and earthy herbs on the nose of this bottling. The palate displays a compelling grip, carrying flavors of chive, kaffir lime, lemongrass and fresh spring herbs.",Ghibellini,,F2 Wines 2016 Ghibellini Sauvignon Blanc (Los Olivos District),$29, California,87, Central Coast,Matt Kettmann,@mattkettmann,Los Olivos District,Not rated yet [Add Your Review],Sauvignon Blanc,2016,F2 Wines
19,13.9%,"Napa Valley, Napa, California, US",750 ml,White, US,4/1/2019,"Full bodied in thickness and concentration, this is a heavy grippy white. Floral on the nose, it offers well-defined flavors of lemon and melon that linger on the finish.",Cadden Family,,Toybox Wine Cellars 2017 Cadden Family Sauvignon Blanc (Napa Valley),$30, California,87, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Toybox Wine Cellars
20,12%,"Adelaide, South Australia, Australia",750 ml,White, Australia,4/1/2019,"This is a light, crisp wine offering up subtle tones of citrus, apple and stone fruit. It's juicy and bright, making it a refreshing choice for a hot day.",The Stump Jump,Old Bridge Cellars,D'Arenberg 2017 The Stump Jump Sauvignon Blanc (Adelaide),$13, South Australia,87,Adelaide,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,D'Arenberg
21,13.5%,"North Coast, North Coast, California, US",750 ml,White, US,4/1/2019,This medium-bodied wine has a slightly earthy reductive aroma followed by green-apple and white-pepper flavors. Good acidity gives it a sense of vibrancy.,,,Josh Cellars 2017 Sauvignon Blanc (North Coast),$14, California,86, North Coast,Jim Gordon,@gordone_cellars,North Coast,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Josh Cellars
22,13%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,4/1/2019,"Pure herbal Sauvignon Blanc, this is a crisp wine. Full of citrus and with touches of spice, the wine has plenty of attractive acidity and a refreshing aftertaste. Drink now.",Sauvignon Blanc,Maison Barriere USA,Grand Bateau 2017 Sauvignon Blanc  (Bordeaux Blanc),$15, Bordeaux,86,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Grand Bateau
23,11.5%,"South Australia, South Australia, Australia",750 ml,White, Australia,4/1/2019,"This is an easy-going sipper that's lemony, floral and a touch herbal, with prickly acidity and a chalky texture. It's light in body and finishes with a citrusy zing.",,Palm Bay International,Tempus Two 2017 Sauvignon Blanc (South Australia),$15, South Australia,86,South Australia,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Tempus Two
24,12.5%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,4/1/2019,"This bright, tangy and fruity wine comes from the Entre-deux-Mers region of Bordeaux. With crisp acidity, an herbal touch and plenty of citrus fruits, this fresh wine is ready to drink.",Sauvignon Blanc,Baron Francois Ltd,Château Tour de Goupin 2017 Sauvignon Blanc  (Bordeaux Blanc),$10, Bordeaux,86,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Château Tour de Goupin
25,12.5%,"Adelaide Hills, South Australia, Australia",750 ml,White, Australia,4/1/2019,"Lemon, stone fruit, florals and a grassy note in this wine lead to a palate that is textured and a bit weighty from partial fermentation in aged French oak for a few weeks. The acidity, however, is searing and all that texture isn't enough to balance it.",The Broken Fishplate,Old Bridge Cellars,D'Arenberg 2017 The Broken Fishplate Sauvignon Blanc (Adelaide Hills),$17, South Australia,86,Adelaide Hills,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,D'Arenberg
26,12%,"Bordeaux Blanc, Bordeaux, France",750 ml,White, France,4/1/2019,"This creamy and fruity wine has a light herbal touch and citrus acidity. The elements give a ripe, crisp wine that is ready to drink.",Sauvignon Blanc,"Latitude Wines, Inc",Les Portes de Bordeaux 2017 Sauvignon Blanc  (Bordeaux Blanc),$6, Bordeaux,86,Bordeaux Blanc,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Les Portes de Bordeaux
27,12.5%,"Galilee, Israel",750 ml,White, Israel,4/1/2019,"A simple nose of lemon sets the scene for flavors of grapefruit, lemon and white flowers. This wine offers a pleasant mouthfeel and a soft floral finish.",Adama,Royal Wine Corporation,Tabor 2017 Adama Sauvignon Blanc (Galilee),$17,Galilee,86,,Mike DeSimone,@worldwineguys,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Tabor
28,13.5%,"Galilee, Israel",750 ml,White, Israel,4/1/2019,"This wine features aromas of pear and vanilla. It is light in the mouth, with flavors of Gala apple, pineapple and mint that lead to a cooling finish.",Gilgal,"Yarden Wines, Inc",Golan Heights Winery 2017 Gilgal Sauvignon Blanc (Galilee),$20,Galilee,85,,Mike DeSimone,@worldwineguys,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Golan Heights Winery
29,10.5%,"South Australia, South Australia, Australia",750 ml,White, Australia,4/1/2019,"This wine shows subtle notes of stone fruit and lemon, along with some herbal tones. There's crisp acidity on the palate but the fruit is a little sour, particularly on the finish.",,Negociants USA–Winebow,Oxford Landing 2017 Sauvignon Blanc (South Australia),$10, South Australia,85,South Australia,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Oxford Landing
30,14.5%,"Paso Robles Willow Creek District, Central Coast, California, US",750 ml,White, US,4/1/2019,"Sour lime and sour guava aromas show on the nose of this bottling. There is a decent grip to the palate, although the flavors are a bit muddled, with apple and lemon most prominent.",Captivating,,Heath Vineyards 2016 Captivating Sauvignon Blanc (Paso Robles Willow Creek District),$45, California,85, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles Willow Creek District,Not rated yet [Add Your Review],Sauvignon Blanc,2016,Heath Vineyards
31,13%,"Lodi, Central Valley, California, US",750 ml,White, US,4/1/2019,Onion and garlic aromas mostly blow off after a few minutes and let this medium-bodied wine turn more fruity and concentrated on the palate.,,,Ironstone 2017 Sauvignon Blanc (Lodi),$14, California,85, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Ironstone
32,13.5%,"California, California Other, California, US",750 ml,White, US,4/1/2019,This medium-bodied wine emphasizes earthy and lightly herbal flavors and has a moderately rich mouthfeel to go with them. Subtle flint and mineral notes outweigh any fruitiness.,,,Kate Arnold 2017 Sauvignon Blanc (California),$15, California,85, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Kate Arnold
33,13%,"Rueda, Northern Spain, Spain",750 ml,White, Spain,4/1/2019,"Prickly aromas of pine, green herbs and seashell are low on fruit. This Sauvignon Blanc is plump and basic in feel, with apricot and peach flavors that turn peppery and bitter on a simple finish.",,Shaw-Ross International Importers,Marqués de Riscal 2017 Sauvignon Blanc (Rueda),$12, Northern Spain,85,Rueda,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Marqués de Riscal
34,11.5%,"Australia-New Zealand, Australia Other, Australia",750 ml,White, Australia,4/1/2019,Ripe tropical and citrus fruit sit heavily on the dry palate. It's sliced through with biting acidity and a lemony finish.,,Deutsch Family Wine and Spirits,Yellow Tail NV Sauvignon Blanc (Australia-New Zealand),$8, Australia Other,84,Australia-New Zealand,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Sauvignon Blanc,,Yellow Tail
35,13.5%,"Galilee, Israel",750 ml,White, Israel,4/1/2019,"Deep gold to the eye, this wine has a nose of citrus, baking bread and vanilla. It is astringent on the palate, with flavors of tart apple, lemon and toast with a slightly sour finish.",,"Allied Importers, USA, Ltd",David's Land 2017 Sauvignon Blanc (Galilee),$13,Galilee,83,,Mike DeSimone,@worldwineguys,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,David's Land
36,13%,"Galilee, Israel",750 ml,White, Israel,4/1/2019,"This light-straw-colored wine has a bouquet of clementine and spearmint. It lacks complexity, with flavors of quince and green apple that wind down to a eucalyptus finish.",Reserve,"Allied Importers, USA, Ltd",Dalton 2017 Reserve Sauvignon Blanc (Galilee),$19,Galilee,83,,Mike DeSimone,@worldwineguys,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Dalton
37,13.5%,"Südsteiermark, Austria",750 ml,White, Austria,3/1/2019,"The nose is almost closed but here and there a flicker of passion fruit appears tantalizingly. The palate is just as tight and taut, but the gloriously aromatic passion fruit shines and shimmers. Purest lemon sets a silvery, zesty accent, but all about this bids you to be patient. This will blossom in all its freshness with a little bottle age. It holds all of Styria's dewy freshness. Drink 2022–2032",Ried Edelschuh,Schatzi Wines,Wohlmuth 2016 Ried Edelschuh Sauvignon Blanc (Südsteiermark),N/A,Südsteiermark,95,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],Sauvignon Blanc,2016,Wohlmuth
38,13.5%,"Südsteiermark, Austria",750 ml,White, Austria,3/1/2019,"On the nose the merest whiff of lemon suggests the fruit that broods underneath. The palate has a plump, limpid, glowing ripeness at its core, framed by leafy, crushed grassiness and vivid, pure lemon. There is something soft and creamy around the edges, too. This needs time to reveal its undoubted splendor. Drink 2022–2032.",Ried Hochsteinriegl,Schatzi Wines,Wohlmuth 2016 Ried Hochsteinriegl Sauvignon Blanc (Südsteiermark),N/A,Südsteiermark,94,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],Sauvignon Blanc,2016,Wohlmuth
39,14.1%,"Bennett Valley, Sonoma, California, US",750 ml,White, US,3/1/2019,"This is a barrel-fermented white that impresses from start to finish, with 4% Sémillon added to the mix. A sublime white-peach flavor is layered and well-integrated within a stony texture. Offering length and breadth, this is defined by an exotic spice note that lingers.",,,Aperture 2017 Sauvignon Blanc (Bennett Valley),$35, California,94, Sonoma,Virginie Boone,@vboone,Bennett Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Aperture
40,12.5%,"Steiermark, Austria",750 ml,White, Austria,3/1/2019,"Gentle, almost emollient notes of passion fruit hover on the nose. The palate comes in with richer juiciness, adding hints of baked apricot and lovely lemon freshness. This is pure and serene and will be ready with a little bottle age. Drink 2020–2028.",Ried Rossberg,"Leonard Kreusch, Inc",Adolf & Heinrich Fuchs 2017 Ried Rossberg Sauvignon Blanc (Steiermark),$18,Steiermark,93,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Adolf & Heinrich Fuchs
41,14.3%,"Napa Valley, Napa, California, US",750 ml,White, US,3/1/2019,"Always impressive, this is a fleshy, boldly structured white wine, offering a tremendous palate of exotic flavor. Lemon rind, wet stone, peach and a grittiness of background oak mingle effortlessly within a moderate richness of balanced complexity.",Blueprint,,Lail 2017 Blueprint Sauvignon Blanc (Napa Valley),$40, California,93, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Lail
42,13.8%,"Happy Canyon of Santa Barbara, Central Coast, California, US",750 ml,White, US,3/1/2019,"Intense aromas of Sauvignon Blanc dominate this bottling, including sharp lawn cuttings, lemongrass, argan oil and even cut garden hose, yet there's a slight hint of peach as well. The dynamic experience continues on the sip, which is both lush in mouthfeel yet very grassy and herbal in flavor with green pepper, basil and lime leaf.",Grassini Family Vineyard,,Dragonette 2016 Grassini Family Vineyard Sauvignon Blanc (Happy Canyon of Santa Barbara),$45, California,92, Central Coast,Matt Kettmann,@mattkettmann,Happy Canyon of Santa Barbara,Not rated yet [Add Your Review],Sauvignon Blanc,2016,Dragonette
43,14.2%,"Napa Valley, Napa, California, US",750 ml,White, US,3/1/2019,"With lasting tension and a good build-up of fresh acidity, this is a well-made white that offers fruity notes of white peach and apple. It has enough creaminess to be pleasurable on the palate, but ultimately is well built and balanced.",,,Heritance 2017 Sauvignon Blanc (Napa Valley),$18, California,92, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Heritance
44,14.5%,"Oakville, Napa, California, US",750 ml,White, US,3/1/2019,"This has 14% Sémillon. Together, the white grapes form a fleshy, floral core of bold full-bodied flavor and lemony oak, the structure impressively complex and lasting in texture.",,,Robert Mondavi 2015 Fumé Blanc (Oakville),$40, California,91, Napa,Virginie Boone,@vboone,Oakville,Not rated yet [Add Your Review],"Fumé Blanc, Sauvignon Blanc",2015,Robert Mondavi
45,13.5%,"Sonoma County, Sonoma, California, US",750 ml,White, US,3/1/2019,"This is a complex, impressive white with a creamy lush entry that evolves on the palate to offer crisp fleshy elements of white peach and lime. The midpalate is balanced in richness, leading the way to a bold herbal grassy finish.",Tradition,,Captûre 2017 Tradition Sauvignon Blanc (Sonoma County),$25, California,91, Sonoma,Virginie Boone,@vboone,Sonoma County,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Captûre
46,13.9%,"Sonoma County, Sonoma, California, US",750 ml,White, US,3/1/2019,"This is a successful, small-production white that's bright, textured and memorable in swathes of well-heeled grapefruit and Meyer lemon. A grassy undertone of pea shoots plays well against the crisp fruit.",Reserve,,Concannon 2017 Reserve Sauvignon Blanc (Sonoma County),$28, California,90, Sonoma,Virginie Boone,@vboone,Sonoma County,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Concannon
47,14.1%,"Russian River Valley, Sonoma, California, US",750 ml,White, US,3/1/2019,"A perennially popular and well-made wine, this vintage is no exception, shining in concentrated, layers of rich, bold flavor. A sweetness of peach and vanilla complement a more exotic element of rose petal and black licorice.",,,Merry Edwards 2017 Sauvignon Blanc (Russian River Valley),$36, California,90, Sonoma,Virginie Boone,@vboone,Russian River Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Merry Edwards
48,13.5%,"Napa Valley, Napa, California, US",750 ml,White, US,3/1/2019,"Aged entirely in stainless steel, this pretty, appropriately named white is floral and herbal, tasting strongly of grapefruit pith and lemon peel. The flavors lead to accompanying textures of light-bodied weight and refreshment.",,,Flint & Steel 2017 Sauvignon Blanc (Napa Valley),$16, California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Flint & Steel
49,13.7%,"Napa Valley, Napa, California, US",750 ml,White, US,3/1/2019,"Blended with nearly 18% Sauvignon Musque, this is fermented in both stainless steel and oak. Dried herb, lemon peel and peach shine along a thread of stony minerality and texture, the body balanced and impressively robust.",,,Oberon 2017 Sauvignon Blanc (Napa Valley),$19, California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Oberon
50,13.5%,"Elgin, South Africa",750 ml,White, South Africa,3/1/2019,"Green plum, gooseberry, lime pith and fresh sweet grass all unfold on the nose of this varietally correct wine. Lightweight, fresh and vibrant, it boasts lime-like acidity and pleasantly tart, not mouthpuckering, green melon and plum flavors. Superfresh and vibrant, this is well balanced and easy to like.",,Pascal/Schildt Selections,Paul Cluver 2018 Sauvignon Blanc (Elgin),$17,Elgin,90,,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],Sauvignon Blanc,2018,Paul Cluver
51,12.5%,"Marlborough, New Zealand",750 ml,White, New Zealand,3/1/2019,"This small, family-run producer makes a solid, salt-tinged Sauvignon Blanc from the estate vineyards close to the sea in the cooler Wairau Valley subregion of Marlborough. This wine is a relatively quiet mix of lemon zest, apple peel, sea spray and jalapeño, accompanied by prickly, mouthwatering acidity, a chalky texture and a citrusy finish.",Zephyr,Massanois Imports,Glover Family 2017 Zephyr Sauvignon Blanc (Marlborough),$17,Marlborough,90,,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Glover Family
52,13.7%,"Napa Valley, Napa, California, US",750 ml,White, US,3/1/2019,"From a selection of vineyards in Oak Knoll, Yountville and St. Helena, this crisp white is floral and lemony, with moderate weight and breadth. It's made in a steely, straightforward style with an intensity that lingers on the finish.",,,Amici 2017 Sauvignon Blanc (Napa Valley),$25, California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Amici
53,13.8%,"Sonoma Valley, Sonoma, California, US",750 ml,White, US,3/1/2019,"This is a grassy, herbal and refreshing white, from vines that date back decades in some cases. Lemongrass, lime and Meyer lemon flavors dominate the palate, accentuating a tart, acid-driven proposition of ample texture.",Magnolia Lane Estate Grown,,Kunde 2017 Magnolia Lane Estate Grown Sauvignon Blanc (Sonoma Valley),$17, California,90, Sonoma,Virginie Boone,@vboone,Sonoma Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Kunde
54,13.8%,"Napa Valley, Napa, California, US",750 ml,White, US,3/1/2019,"Blended with 12% Sémillon, this white is steel and floral, with a lemony core that's more balanced and elegant than fruit forward. Wet stone and jasmine accent it well.",,,Markham 2017 Sauvignon Blanc (Napa Valley),$19, California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Markham
55,13%,"Awatere Valley, New Zealand",750 ml,White, New Zealand,3/1/2019,"This single-vineyard wine shows all of the cool climate, maritime influence of the Awatere Valley, a subregion of Marlborough. It's an aromatic and balanced mix of green bell pepper, tomato leaf, grapefruit and lemon zest. The whole package is backed by crisp, crunchy acidity, a slippery texture and a long, lemony finish.",Estate Single Vineyard,Palm Bay International,Yealands 2018 Estate Single Vineyard Sauvignon Blanc (Awatere Valley),$25,Awatere Valley,90,,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Sauvignon Blanc,2018,Yealands
56,13%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,3/1/2019,"Aromas of pink grapefruit, tropical fruit and herb lead to broad feeling, ever so slight spritzy fruit flavors. A tart, lingering finish caps it off.",,,Chateau Ste. Michelle 2017 Sauvignon Blanc (Columbia Valley (WA)),$11, Washington,89, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Sauvignon Blanc,2017,Chateau Ste. Michelle
57,13.2%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,3/1/2019,"Herb, pineapple, pink grapefruit, licorice and clove aromas are at the fore. Taut fig and tropical fruit flavors follow, with tart acidity keeping the interest high.",,,Seven Hills 2017 Sauvignon Blanc (Columbia Valley (WA)),$20, Washington,89, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Sauvignon Blanc,2017,Seven Hills
58,13.5%,"Sonoma County, Sonoma, California, US",750 ml,White, US,3/1/2019,"Light and bright in well-defined flavors of white peach and apricot, this is a fulsome, balanced white, quiet and subtle in flavor with crisp, focused acidity.",,,Decoy 2017 Sauvignon Blanc (Sonoma County),$20, California,88, Sonoma,Virginie Boone,@vboone,Sonoma County,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Decoy
