,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
10,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"This organically farmed Merlot offers aromas of toasted oak, espresso and dried black fruit. The concentrated palate offers blackberry extract, mocha and star anise alongside firm tannins.",Colle dei Mandorli,Beviamo International,Tenuta San Vito 2013 Colle dei Mandorli Merlot (Toscana),$35, Tuscany,89,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Merlot,2013,Tenuta San Vito
11,13.8%,"Clarksburg, Central Valley, California, US",750 ml,Red, US,4/1/2019,"This medium-bodied wine tastes ultrafresh and fruity, feels rich and lightly tannic and has enough underlying concentration to add depth. Perfect for casual occasions.",,,Gen5 2016 Merlot (Clarksburg),$11, California,89, Central Valley,Jim Gordon,@gordone_cellars,Clarksburg,Not rated yet [Add Your Review],Merlot,2016,Gen5
12,14.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"This Merlot offers aromas of dark berry, espresso, toasted oak and a whiff of bell pepper. The concentrated palate delivers blackberry jam, vanilla and coconut alongside assertive tannins.",Lamaione,Shaw-Ross International Importers,Marchesi de' Frescobaldi 2014 Lamaione Merlot (Toscana),$84, Tuscany,89,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Merlot,2014,Marchesi de' Frescobaldi
13,15.2%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,4/1/2019,"Most of the fruit for this wine comes from Pepper Bridge, Sheridan and StoneTree vineyards, along with a pinch from Kiona. Aromas of exotic spice, cedar box, licorice and jammy red fruit are followed by ripe, rich fruit flavors. It's high on the hedonism scale, with the warmth of the vintage on full display.",,,Two Vintners 2015 Merlot (Columbia Valley (WA)),$32, Washington,89, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2015,Two Vintners
14,13.5%,"California, California Other, California, US",750 ml,Red, US,4/1/2019,"This full-bodied Merlot is blended with 7% Petit Verdot and 6% Teroldego. It tastes ripe and generous, but also grippy on the palate. Moderate tannins and good acidity give it some heft, while a deep black-cherry flavor and mild oak spice add interest.",,,Dark Horse 2016 Merlot (California),$8, California,89, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Merlot,2016,Dark Horse
15,14.5%,"North Coast, North Coast, California, US",750 ml,Red, US,4/1/2019,"This easygoing honest-tasting dry wine has simple straightforward fruit flavors, a good restrained texture and relatively light body so it's tempting to pour another glass. Expect ripe but not sweet plum and grape flavors.",Fly By,,Precision Wine 2016 Fly By Merlot (North Coast),$14, California,89, North Coast,Jim Gordon,@gordone_cellars,North Coast,Not rated yet [Add Your Review],Merlot,2016,Precision Wine
16,13.5%,"Galilee, Israel",750 ml,Red, Israel,4/1/2019,"This ruby-red colored wine offers a bouquet of blueberry and clove. Flavors of black currant, dark plums, chocolate and orange zest are set in a web of tannins that might feel overpowering were it not for the wine's bold acidity. There is a touch of mint on the fruit-filled finish.",Origin,"Allied Importers, USA, Ltd",David's Land 2016 Origin Merlot (Galilee),$26,Galilee,89,,Mike DeSimone,@worldwineguys,,Not rated yet [Add Your Review],Merlot,2016,David's Land
17,15%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made entirely with organically farmed Merlot, this shows aromas of ripe plum, cedar and a whiff of vanilla. The robust palate doles out blackberry jam, tobacco and clove while round tannins provide soft support.",Torre di Montemaggio,Total Wine & More,Fattoria Montemaggio 2015 Torre di Montemaggio Merlot (Toscana),$36, Tuscany,89,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Merlot,2015,Fattoria Montemaggio
18,13.5%,"Lodi, Central Valley, California, US",750 ml,Red, US,4/1/2019,"Strong juniper and cedar aromas start off this full-bodied wine, with vivid flavors of cola, cherry juice and mint on the smooth palate. It's an unorthodox style, but lots of fun to taste and drink.",Estate Grown,,McManis 2017 Estate Grown Merlot (Lodi),$12, California,89, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Merlot,2017,McManis
19,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"This Merlot has aromas of cedar, vanilla and black fruit. The round palate evokes blackberry jam, mocha and clove alongside polished tannins.",Alleanza,Treasury Wine Estates,Castello di Gabbiano 2013 Alleanza Merlot (Toscana),$30, Tuscany,89,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Merlot,2013,Castello di Gabbiano
20,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"This Merlot has subdued aromas of toasted oak, mocha and ripe dark fruit. The dense palate offers roasted coffee bean, ripe black plum and caramel alongside close-grained, rather astringent tannins.",Poggio ai Merli,LLS–Winebow,Castellare di Castellina 2016 Poggio ai Merli Merlot (Toscana),$120, Tuscany,88,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Merlot,2016,Castellare di Castellina
21,13%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Initially on the shy side, this Merlot eventually offers subdued aromas of dark fruit, tobacco and cedar. The medium-bodied palate is a bit more expressive, evoking dried black cherry, graphite and licorice alongside smooth tannins.",,Tuscan Wine Imports,Torre Matilde 2015 Merlot (Toscana),$25, Tuscany,88,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Merlot,2015,Torre Matilde
22,13.8%,"Upper Galilee, Israel",750 ml,Red, Israel,4/1/2019,"Aromas of black cherry and apple peel lead to flavors of fruits of the wood, cassis, cranberry and vanilla bean. This wine is full on the palate, with a firm network of tannins and a surprisingly bright finish.",Elevation,"Allied Importers, USA, Ltd",David's Land 2014 Elevation Merlot (Upper Galilee),$37,Upper Galilee,88,,Mike DeSimone,@worldwineguys,,Not rated yet [Add Your Review],Merlot,2014,David's Land
23,14.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of black plum, scorched earth and vanilla guide the nose on this Merlot. The dense palate offers blackberry jam, cedar and licorice alongside polished tannins.",Voltaccia 49,Village Wine Imports,Poggio al Chiuso 2015 Voltaccia 49 Merlot (Toscana),N/A, Tuscany,88,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Merlot,2015,Poggio al Chiuso
24,14.2%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,4/1/2019,"Aromas of vanilla, graphite and wood spice are followed by black fruit flavors that bring a sense of fullness. The tannins bring some grip and dryness.",,,Reininger 2015 Merlot (Walla Walla Valley (WA)),$37, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Valley (WA),Not rated yet [Add Your Review],Merlot,2015,Reininger
25,15.2%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,4/1/2019,"Made in an approachable style, this wine shows rounded and ripe red cherry on the nose with hints of clove and baking spice. There are prominent strawberry and fennel-bulb flavors on the palate with a pinch of herbs, proving quite rich for the price point.",,,Vintage Cowboy 2015 Merlot (Paso Robles),$22, California,88, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Merlot,2015,Vintage Cowboy
26,14.5%,"Lodi, Central Valley, California, US",750 ml,Red, US,4/1/2019,"Starting with meaty, smoky, herbal aromas, this medium-bodied wine follows with good plum and cherry notes, a relatively lean body and moderate smoky, spicy accents.",,,Ironstone 2016 Merlot (Lodi),$12, California,87, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Merlot,2016,Ironstone
27,13.5%,"California, California Other, California, US",750 ml,Red, US,4/1/2019,"Oak flavors take a central role in this medium-bodied, spicy and buttery wine. A candied-fruit edge and cherry-strawberry core are layered with vanilla and toast accents.",,,Grayson 2017 Merlot (California),$11, California,87, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Merlot,2017,Grayson
28,13%,"California, California Other, California, US",750 ml,Red, US,4/1/2019,"This soft and jammy wine has an effusive cherry-berry aroma, with a good sense of extraction and ripeness on the palate. Plenty of ripe fruit notes are mixed with vanilla and nutmeg.",,,Happy Camper 2017 Merlot (California),$9, California,87, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Merlot,2017,Happy Camper
29,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Here's a Tuscan Merlot with aromas of toasted oak, mocha and ripe dark berry. The linear palate offers ripe back plum, roasted coffee bean and clove alongside close-grained, rather astringent tannins.",Rosso 10,"Noble Harvest, LLC",Arizziwine 2015 Rosso 10 Merlot (Toscana),$42, Tuscany,87,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Merlot,2015,Arizziwine
30,14.2%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,4/1/2019,"High-toned black cherry, anise, vanilla and barrel spice aromas lead to pitch-black cherry flavors. The tannins give a firm, dry squeeze and show some bitterness. The warmth of the vintage shows, with the tannins getting in the way.",Merveille Stillwater Creek Vineyard,,Finn Hill 2014 Merveille Stillwater Creek Vineyard Merlot (Columbia Valley (WA)),$30, Washington,87, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2014,Finn Hill
31,14.1%,"Colorado, Colorado, US",750 ml,Red, US,4/1/2019,"Earthy aromas of nutmeg and fallen leaves mingle with pink peppercorn, goji berry and black currant notes on the nose of this Merlot that's blended with small amounts of Cabernet Sauvignon and Cabernet Franc. This is fresh in feel from a strong core of acidity and wrapped in papery tannins. Flavors of juicy cherry and cranberry meld with earthy tones of underbrush and dried sage. Peppercorns and red plums emerge on the finish.",Reserve,,The Winery At Holy Cross Abbey 2016 Reserve Merlot (Colorado),$34, Colorado,87,Colorado,Fiona Adams,@bkfiona,,Not rated yet [Add Your Review],Merlot,2016,The Winery At Holy Cross Abbey
32,15.1%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,4/1/2019,"Toast, dark raspberry jam and spice aromas lead to sweet, jammy fruit flavors. It's a hyperripe offering of the variety.",,,Helix by Reininger 2014 Merlot (Columbia Valley (WA)),$22, Washington,86, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2014,Helix by Reininger
33,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Subdued aromas of black-skinned fruit and cooking spice lead the way on this Merlot. The forward, one-dimensional palate offers prune and vanilla alongside rather evolved tannins.",Sant'Adele,Pebble Ridge Wine Estates,Villa Pillo 2016 Sant'Adele Merlot (Toscana),$25, Tuscany,86,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Merlot,2016,Villa Pillo
34,13.9%,"Colorado, Colorado, US",750 ml,Red, US,4/1/2019,Black raspberry and brown sugar aromas cling to a ton of Christmas spice on the nose of this well-structured wine Velvety tannins and steely acidity frame flavors of black cherry and red currant that fade into the background as tobacco and raw oak takeover.,,,The Winery At Holy Cross Abbey 2016 Merlot (Colorado),$28, Colorado,86,Colorado,Fiona Adams,@bkfiona,,Not rated yet [Add Your Review],Merlot,2016,The Winery At Holy Cross Abbey
35,13.5%,"California, California Other, California, US",750 ml,Red, US,4/1/2019,"A sweet-seeming, spicy oak character carries this medium-bodied wine from a smoky aroma to meaty, fruity flavors and a touch of strawberry jam. It's rather soft in texture and low in tannins and acidity.",,,Greystone 2015 Merlot (California),$13, California,86, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Merlot,2015,Greystone
36,13.8%,"Yakima Valley, Columbia Valley, Washington, US",750 ml,Red, US,4/1/2019,"Subdued aromas of cranberry, orange peel, cherry and herb are followed by light, sweet-seeming tart fruit flavors. The tannins bring a bit of grit. The variety seems hard to find, with cranberry flavors taking over.",Copeland Vineyard,,Two Mountain 2016 Copeland Vineyard Merlot (Yakima Valley),$22, Washington,85, Columbia Valley,Sean P. Sullivan,@wawinereport,Yakima Valley,Not rated yet [Add Your Review],Merlot,2016,Two Mountain
37,N/A,"Bordeaux, Bordeaux, France",750 ml,Red, France,4/1/2019,"Lightly smoky flavors over black-currant fruit give this simple, ripe wine an attractive character. The wine has balanced acidity with a fresh finish. It is ready to drink.",,Kysela Père et Fils,Château des Arnauds 2016  Bordeaux,$11, Bordeaux,85,Bordeaux,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Merlot,2016,Château des Arnauds
38,13.5%,"Bordeaux, Bordeaux, France",750 ml,Red, France,4/1/2019,"Somewhat rustic, this wine has rough-edged tannins that contrast with black-currant fruits. There is plenty of juicy acidity, although the wine's structure seems clumsy. Drink from late 2019.",,Maison Barriere USA,Château Haut-Gaussens 2016  Bordeaux,$13, Bordeaux,84,Bordeaux,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Merlot,2016,Château Haut-Gaussens
39,14%,"Vino de la Tierra de Castilla, Central Spain, Spain",750 ml,Red, Spain,4/1/2019,"A jammy nose indicates reduction while hinting at green fruit. A fleshy, tannic palate is rubbing, while this Merlot tastes of chocolate and herbal berry fruit.",Made with Organic Grapes,Vinamericas Selections,Mureda 2017 Made with Organic Grapes Merlot (Vino de la Tierra de Castilla),$11, Central Spain,82,Vino de la Tierra de Castilla,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Merlot,2017,Mureda
40,15.5%,"Yountville, Napa, California, US",750 ml,Red, US,3/1/2019,"Black olive tapenade dominates the flavor profile of this well-made 100% varietal wine, concentrated in black-licorice and black-cherry flavors. With a spicy thread of nutmeg throughout, it has tremendous grip. This is one worth setting aside; enjoy best from 2020–2025.",,,Tamber Bey 2015 Merlot (Yountville),$75, California,92, Napa,Virginie Boone,@vboone,Yountville,Not rated yet [Add Your Review],Merlot,2015,Tamber Bey
41,14.8%,"Napa Valley, Napa, California, US",750 ml,Red, US,3/1/2019,"This is made from estate-grown Mount Veeder grapes, as well as Oak Knoll fruit. Sanguine in black olive, it has flavors of black currant, eucalyptus and bold, brawny oak. Grippy and gritty in texture, it offers integrated tannin and substantial ripeness.",Signature,,Darioush 2014 Signature Merlot (Napa Valley),$58, California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2014,Darioush
42,14.5%,"Sonoma County, Sonoma, California, US",750 ml,Red, US,3/1/2019,"This is 100% varietal and made from the best vineyard blocks. Brawny and bright, it has substantial weight and tannin, accented in red and black cherry, plum, coconut and leather. Seasonings of dried herb linger on the long finish.",Vintner Select,,Pride Mountain 2015 Vintner Select Merlot (Sonoma County),$85, California,90, Sonoma,Virginie Boone,@vboone,Sonoma County,Not rated yet [Add Your Review],Merlot,2015,Pride Mountain
43,14.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,3/1/2019,"This is a well-made value-driven red, tasting of blueberry cobbler, cinnamon and nutmeg, with a lingering touch of meat and smoke. Brawny and full bodied it benefits from bright underlying acidity.",,,Houdini 2016 Merlot (Napa Valley),$24, California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2016,Houdini
44,14.7%,"Sonoma County, Sonoma, California, US",750 ml,Red, US,3/1/2019,"This is a tiny production, reserve-tier wine at a fair price, high toned in red plum and savory black olive. Integrated, it offers a sturdy foundation of toasted oak and tannin midway through on the palate before finishing bright.",Reserve,,Thirty-Seven 2015 Reserve Merlot (Sonoma County),$46, California,90, Sonoma,Virginie Boone,@vboone,Sonoma County,Not rated yet [Add Your Review],Merlot,2015,Thirty-Seven
45,14.5%,"Oakville, Napa, California, US",750 ml,Red, US,3/1/2019,"Salty briny oak meets big concentrated flavors of black currant, black cherry and leather in this bold brawny red. It is blended with 9% Cabernet Sauvignon, which adds to its tannic power and spicy length.",,,Saddleback 2015 Merlot (Oakville),$54, California,89, Napa,Virginie Boone,@vboone,Oakville,Not rated yet [Add Your Review],Merlot,2015,Saddleback
46,14.5%,"Wahluke Slope, Columbia Valley, Washington, US",750 ml,Red, US,3/1/2019,"Aromas of raspberry and cherry jam jump up from the glass. The palate brings a sense of delicacy that delights, with chalky, slightly dry-feeling tannins backing it up. There's no doubt about the warm vintage and appellation that it comes from, with the ripeness dialed up.",Vineyard Collection Me Northridge Vineyard,,Substance 2015 Vineyard Collection Me Northridge Vineyard Merlot (Wahluke Slope),$45, Washington,89, Columbia Valley,Sean P. Sullivan,@wawinereport,Wahluke Slope,Not rated yet [Add Your Review],Merlot,2015,Substance
47,13.2%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,3/1/2019,"The nose of this estate bottling is quite showy, offering Bing cherry, pungent rose buds and a hint of vanilla. It's fairly light on the palate but with pleasing red-plum and cranberry flavors that are easy to quaff.",Estate,,Sculpterra 2016 Estate Merlot (Paso Robles),$38, California,88, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Merlot,2016,Sculpterra
48,14.6%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,3/1/2019,"Supple red fruit and candied berries meet with a touch of turned loam on the nose of this bottling. The palate combines cocoa, red cherry and a touch of earthy funk with a powerful acidity.",Estate,,Sextant 2016 Estate Merlot (Paso Robles),$35, California,88, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Merlot,2016,Sextant
49,14.8%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,3/1/2019,"The aromas are light and a bit difficult to tease out initially, with notes of cedar box, green pepper, spice and raspberry. Light but juicy fruit flavors follow, with the tannins giving a firm, slightly astringent squeeze. It intrigues, but the variety seems difficult to find.",Seven Hills Vineyard,,Seven Hills 2016 Seven Hills Vineyard Merlot (Walla Walla Valley (WA)),$45, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Valley (WA),Not rated yet [Add Your Review],Merlot,2016,Seven Hills
50,15.5%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,3/1/2019,"This is a deep and dark take on Merlot, with aromas of fudge, black cherry, wet gravel and cigar box. The palate offers roasted wood and dark prune-like fruits, but impresses mostly with its weight and structure.",Limited Release,,Broken Earth 2016 Limited Release Merlot (Paso Robles),$29, California,88, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Merlot,2016,Broken Earth
51,14.1%,"Horse Heaven Hills, Columbia Valley, Washington, US",750 ml,Red, US,3/1/2019,"Aromas of raspberry jam and spice are followed by plump, juicy red fruit flavors. It delivers appeal.",,,Mercer 2016 Merlot (Horse Heaven Hills),$20, Washington,87, Columbia Valley,Sean P. Sullivan,@wawinereport,Horse Heaven Hills,Not rated yet [Add Your Review],Merlot,2016,Mercer
52,14.2%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,3/1/2019,"Smoky in oak, this soft, round and medium-bodied red is a mix of blackberry and black cherry, with tart acidity lurking in the background. Smooth integrated tannins support without distraction.",,,K Squared Cellars 2016 Merlot (Russian River Valley),$32, California,87, Sonoma,Virginie Boone,@vboone,Russian River Valley,Not rated yet [Add Your Review],Merlot,2016,K Squared Cellars
53,14.7%,"Yountville, Napa, California, US",750 ml,Red, US,3/1/2019,"Dusty tobacco and dark chocolate are buoyed by big expansive tannins in this full-bodied, bulky and brawny wine. Smoky oak and dried herb with cedar round out the profile.",,,Bell 2015 Merlot (Yountville),$65, California,87, Napa,Virginie Boone,@vboone,Yountville,Not rated yet [Add Your Review],Merlot,2015,Bell
54,13.9%,"Sonoma County, Sonoma, California, US",750 ml,Red, US,3/1/2019,"This affordable red is soft and round, offering full flavors of dark chocolate, vanilla and plum. The backbone is built on a foundation of fresh acidity and dried herb.",,,Decoy 2016 Merlot (Sonoma County),$25, California,86, Sonoma,Virginie Boone,@vboone,Sonoma County,Not rated yet [Add Your Review],Merlot,2016,Decoy
55,14.2%,"Rattlesnake Hills, Columbia Valley, Washington, US",750 ml,Red, US,3/1/2019,"The aromas are light and hard to tease out. Smooth fruit flavors follow, with the concentration not all there. The variety seems hard to find.",Vinocluster,,GFW 2016 Vinocluster Merlot (Rattlesnake Hills),$24, Washington,85, Columbia Valley,Sean P. Sullivan,@wawinereport,Rattlesnake Hills,Not rated yet [Add Your Review],Merlot,2016,GFW
56,13.9%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,3/1/2019,"Underripe berries, red-plum skins and wood spice show on the nose of this bottling. The palate is tart and framed by squeaky tannins.",,,Olelo 2017 Merlot (Paso Robles),$15, California,85, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Merlot,2017,Olelo
57,13.8%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,3/1/2019,"Mortared savory herb, cherry and spice aromas are at the fore. Broad cranberry flavors follow, with a light grassy note on the finish. It comes off as green for the variety. Drink now.",Estate,,Gordon Estate 2015 Estate Merlot (Columbia Valley (WA)),$21, Washington,85, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2015,Gordon Estate
58,14.3%,"Applegate Valley, Southern Oregon, Oregon, US",750 ml,Red, US,3/1/2019,"Generic flavors disguise any varietal fruit character with overwrought, rough, charred tannins.",,,Schmidt 2015 Merlot (Applegate Valley),$35, Oregon,84, Southern Oregon,Paul Gregutt,@paulgwine ,Applegate Valley,Not rated yet [Add Your Review],Merlot,2015,Schmidt
59,14.5%,"Napa County, Napa, California, US",750 ml,Red, US,3/1/2019,"Chalky bulky tannins round out a bold big-flavored hit of smoky oak and green herb in this red, blended with 10% Cabernet Sauvignon and 6% Petite Sirah.",Educated Guess,,Educated Guess 2016 Educated Guess Merlot (Napa County),$25, California,84, Napa,Virginie Boone,@vboone,Napa County,Not rated yet [Add Your Review],Merlot,2016,Educated Guess
60,13.9%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,3/1/2019,"Raspberry, struck match, whole green pepper and spice aromas are paired with lighter-styled fruit flavors. It seems washed out and green.",,,SR 262 2016 Merlot (Columbia Valley (WA)),$15, Washington,83, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2016,SR 262
61,15.5%,"Sonoma Valley, Sonoma, California, US",750 ml,Red, US,3/1/2019,"Tart tangy acidity veers into a disjointed quality that's sour on the palate in this hearty wine that veers on overripe. Bulky oak masks flavors of cherry, plum and dried herb.",Sangiacomo Vineyards,,Muscardini 2015 Sangiacomo Vineyards Merlot (Sonoma Valley),$60, California,83, Sonoma,Virginie Boone,@vboone,Sonoma Valley,Not rated yet [Add Your Review],Merlot,2015,Muscardini
