,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
20,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"This opens with red berry and baking spice aromas while the medium-bodied palate shows red cherry, vanilla and clove. Smooth tannins offer light support. Artisanal Cellars and Opera Wine Imports.",Sanforte,Multiple U.S. importers,Fattoria Fibbiano 2014 Sanforte Sangiovese (Toscana),$55, Tuscany,88,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2014,Fattoria Fibbiano
21,14%,"Chianti, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made entirely with organically farmed Sangiovese, this opens with vinous aromas of just pressed grapes, wild berry and plum that mingle with whiffs of blue flower and dark spice. The vigorous palate offers juicy wild cherry, raspberry and clove alongside fresh acidity and supple tannins. Drink through 2020.",San Vito,Beviamo International,Tenuta San Vito 2017 San Vito  (Chianti),$20, Tuscany,88,Chianti,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2017,Tenuta San Vito
22,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made with Sangiovese, this has aromas of cedar, tobacco and a hint of dark-skinned fruit. The aromas carry over to the medium-bodied, straightforward palate along with a hint of clove and smooth tannins. Enjoy soon.",Cantinino,Omniwines Distribution,Castello Sonnino 2014 Cantinino Sangiovese (Toscana),$24, Tuscany,88,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2014,Castello Sonnino
23,13%,"Chianti Classico, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Red berry and baking spice aromas lead the nose along with a note of tilled earth. The easygoing palate reflects the nose, offering dried Marasca cherry and clove alongside pliant tannins. Drink now.",Single Estate,Ethica Wines,Basilica Cafaggio 2017 Single Estate  (Chianti Classico),$19, Tuscany,88,Chianti Classico,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2017,Basilica Cafaggio
24,13%,"Chianti Classico, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Here's a bright, easy-drinking red that has flavors of juicy wild cherry, white pepper and a hint of clove alongside pliant tannins and fresh acidity. Straightforward and juicy, it's ideal for everyday enjoyment. Drink now.",Pigro,Ethica Wines,Basilica Cafaggio 2016 Pigro  (Chianti Classico),$15, Tuscany,87,Chianti Classico,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2016,Basilica Cafaggio
25,13.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"This Sangiovese has subdued aromas of red fruit and vanilla. The straightforward palate offers red plum, toasted oak and clove alongside close-grained tannins.",Poggio ai Chiari,Le Storie Wines,Colle S. Mustiola di Fabio Cenni 2010 Poggio ai Chiari Sangiovese (Toscana),$70, Tuscany,87,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2010,Colle S. Mustiola di Fabio Cenni
26,14.2%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,4/1/2019,"The tire rubber, cherry, vanilla and wood spice aromas don't seem entirely settled at present—surprising given the extra time in bottle. Light, tart, puckering fruit flavors follow. The acidity is delightful if the aromas clear up.",V Cut Bank Estate,,Walla Walla Vintners 2014 V Cut Bank Estate Sangiovese (Walla Walla Valley (WA)),$50, Washington,87, Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Valley (WA),Not rated yet [Add Your Review],Sangiovese,2014,Walla Walla Vintners
27,13%,"Chianti, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of pressed rose, prune and medicinal herb lead the nose. The palate isn't very expressive, suggesting dried cherry and powdered sage alongside dusty, fleeting tannins that dry out the finish.",,Montcalm Wine Importers,Guicciardini Strozzi 2017  Chianti,$15, Tuscany,86,Chianti,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2017,Guicciardini Strozzi
28,13%,"Chianti Classico, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"This has aromas of ripe berry, a suggestion of dark spice and whiffs of wild herb. The aromas carry over to the simple palate alongside dusty, rather fleeting tannins.",Riserva,Ethica Wines,Kirkland Signature 2015 Riserva  (Chianti Classico),$9, Tuscany,86,Chianti Classico,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Kirkland Signature
29,14.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of French oak and spiced plum lead the nose. The firm palate shows star anise, a bitter note of powdered sage and the merest hint of prune while astringent tannins leave a tight, drying finish. Despite the assertive tannins drink soon before what little fruit remains dries out completely.",Corbezzolo,"Artisan Wines, Inc",Podere La Cappella 2013 Corbezzolo Sangiovese (Toscana),$50, Tuscany,86,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2013,Podere La Cappella
30,14%,"Chianti, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"This offers aromas suggestive of violet and wild berry. It's informal, with flavors of ripe cherry, clove and a hint of dried herb accompanied by dusty, somewhat fleeting tannins that leave a drying finish. Drink now.",,Executive Wine Imports Inc,Casa Catelli 2016  Chianti,$16, Tuscany,86,Chianti,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2016,Casa Catelli
31,13.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Lightly scented, this eventually reveals whiffs of wild berry, blue flower and a hint of damp earth. On the lean palate, you'll find dried cherry and sage accompanied by drying, somewhat fleeting tannins.",Genius Loci,Mission Wine Company,Castellani 2016 Genius Loci Sangiovese (Toscana),$25, Tuscany,86,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2016,Castellani
32,12.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,This extremely simple Sangiovese has subdued aromas of violet and a whiff of berry while the light-bodied palate suggests dried cherry and a bitter note of powdered sage. Drink now.,,Saranty Imports,Bellini 2017 Sangiovese (Toscana),$10, Tuscany,85,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2017,Bellini
33,13%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made from Sangiovese, this has subdued aromas of red berry and cooking spice. Mirroring the nose, the simple palate delivers raspberry and clove alongside easygoing tannins. Enjoy soon.",,HB Wine Merchants,Il Bastardo 2017 Sangiovese (Toscana),$9, Tuscany,85,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2017,Il Bastardo
34,N/A,"Chianti, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of ripe blackberry, weedy underbrush and a whiff of botanical herb lead the nose. The simple palate shows black cherry and a hint of roasted coffee bean alongside pliant tannins. Drink now.",,Ethica Wines,Canaletto 2017  Chianti,$13, Tuscany,85,Chianti,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2017,Canaletto
35,13.6%,"Rattlesnake Hills, Columbia Valley, Washington, US",750 ml,Rose, US,4/1/2019,"Electric pink in color, the aromas offer notes of apple and lees. Thick feeling, medium-bodied flavors follow, with a lightly smoky finish after.",Blondie Elephant Mountain Vineyard Rosé of,,Finn Hill 2017 Blondie Elephant Mountain Vineyard Rosé of Sangiovese (Rattlesnake Hills),$20, Washington,83, Columbia Valley,Sean P. Sullivan,@wawinereport,Rattlesnake Hills,Not rated yet [Add Your Review],Sangiovese,2017,Finn Hill
36,13.7%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,4/1/2019,"Aromas of barnyard, dried cherry, dried tobacco and herb are followed by somewhat lighter-styled fruit flavors that show the same. It doesn't come together, and the variety seems impossible to find.",Estate JK Vineyard,,Plumb Cellars 2014 Estate JK Vineyard Sangiovese (Walla Walla Valley (WA)),$24, Washington,82, Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Valley (WA),Not rated yet [Add Your Review],Sangiovese,2014,Plumb Cellars
37,14%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Perfumed berry, tilled earth, pressed rose, new leather, cake spice and a balsamic note are just some of the aromas you'll find on this fragrant, delicious red. It's linear, structured and loaded with finesse, delivering ripe Marasca cherry, raspberry compote, licorice and tobacco. Taut refined tannins and fresh acidity provide an age-worthy framework. Drink 2022–2035.",Vecchie Viti del Salco,Massanois Imports,Salcheto 2015 Vecchie Viti del Salco  (Vino Nobile di Montepulciano),$85, Tuscany,96,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Salcheto
38,14.5%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Made entirely with Sangiovese, this offers enticing aromas of exotic spice, ripe black-skinned fruit, tilled soil, French oak and a whiff of leather. The full-bodied palate boasts structure, elegance and tension, delivering juicy wild cherry, raspberry, star anise and espresso set against firm fine-grained tannins. Drink 2022–2030.",Costa Grande,Empson USA Ltd,Boscarelli 2015 Costa Grande  (Vino Nobile di Montepulciano),$95, Tuscany,95,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Boscarelli
39,14.5%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Ripe plum, wild berry, new leather and exotic spice mingle with a whiff of French oak. Young, taut and elegantly structured, the palate offers juicy Marasca cherry, cassis, orange zest, star anise and clove framed in tightly knit fine-grained tannins. Give it time to fully come around and you'll be rewarded with even more complexity. Drink 2023–2030.",Maggiarino,Ste. Michelle Wine Estates,La Braccesca 2015 Maggiarino  (Vino Nobile di Montepulciano),N/A, Tuscany,94,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,La Braccesca
40,13.5%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Made with organically cultivated Sangiovese, this fragrant elegant red opens with enticing scents of underbrush, sunbaked earth, wild berry, violet, crushed mint and a balsamic whiff of camphor. Smooth and savory, the linear palate has surprising vibrancy for such a hot vintage, delivering juicy Marasca cherry, strawberry compote, star anise and white pepper. Elegant fine-grained tannins lend polished support while a coffee note lingers on the close. Drink through 2025.",,Massanois Imports,Salcheto 2015  Vino Nobile di Montepulciano,$24, Tuscany,94,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Salcheto
41,14%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Aromas of mature black-skinned fruit, culinary spice, tobacco, new leather and an earthy whiff of tilled soil emerge in the glass. Elegantly structured, the savory linear palate delivers ripe Marasca cherry, black raspberry, star anise and dried botanical herb. Polished fine-grained tannins lend lithe support while fresh acidity provides plenty of verve. Drink 2021–2033.",Salco,Massanois Imports,Salcheto 2013 Salco  (Vino Nobile di Montepulciano),$60, Tuscany,94,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2013,Salcheto
42,15%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Combining structure and finesse, this offers aromas of spiced plum, underbrush, French oak and pipe tobacco. It's full bodied and smooth but also has tension, evoking mature black cherry, prune, mocha, licorice and clove framed in firm close-grained tannins. It closes on a coffee-bean note. Drink 2023–2030.",La Caggiole,Dalla Terra Winery Direct,Poliziano 2015 La Caggiole  (Vino Nobile di Montepulciano),$100, Tuscany,93,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Poliziano
43,14.5%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Alluring aromas of black-skinned berry, forest floor, oak and exotic spice shape the nose. On the elegantly structured, focused palate, polished fine-grained tannins support dried black cherry, raspberry compote, clove and cinnamon while a hint of espresso lingers on the close. It's already tempting, but give it a few more years to develop even more complexity. Drink 2021–2030.",Progetto di Sopra,Tabaccaia USA,Avignonesi 2015 Progetto di Sopra  (Vino Nobile di Montepulciano),$74, Tuscany,93,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Avignonesi
44,14%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Fragrant and refined, this elegant red offers enticing scents of woodland berry, pressed rose, violet and culinary spice. The polished focused palate delivers ripe Marasca cherry, raspberry compote, star anise and clove set against precise fine-grained tannins. Drink 2020–2030.",Vigna Santa Caterina,Taub Family Selections,Trerose 2016 Vigna Santa Caterina  (Vino Nobile di Montepulciano),$40, Tuscany,93,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2016,Trerose
45,13.5%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"A pure expression of Sangiovese, this has aromas of ripe red berry, violet, star anise and a whiff of crushed herb. Tight and focused, the youthfully austere vibrant palate evokes Marasca cherry, pomegranate, licorice and ground clove while firm fine-grained tannins provide a polished backbone. Fresh acidity lends balance. Drink 2021–2031.",Vigna d'Alfiero,LLS–Winebow,Valdipiatta 2016 Vigna d'Alfiero  (Vino Nobile di Montepulciano),$50, Tuscany,93,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2016,Valdipiatta
46,14%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Initially rather shy, this eventually offers aromas of mature black-skinned fruit, pipe tobacco and a whiff of new leather. The enveloping palate evokes dried cherry, prune, clove and a note of star anise alongside polished tannins. Drink through 2023.",Il Nocio,Empson USA Ltd,Boscarelli 2015 Il Nocio  (Vino Nobile di Montepulciano),$113, Tuscany,92,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Boscarelli
47,14.5%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Baked plum, exotic spice, leather and a whiff of French oak mingle with a suggestion of fragrant blue flower. The firm elegant palate delivers Marasca cherry, raspberry compote, licorice and baking spice before a coffee finish. Taut fine-grained tannins provide structure while fresh acidity keeps it balanced. Drink 2021–2033.",Simposio,Taub Family Selections,Trerose 2013 Simposio  (Vino Nobile di Montepulciano),$70, Tuscany,92,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2013,Trerose
48,15%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Aromas of French oak, coconut, exotic spice and mature black-skinned fruit shape the nose along with a whiff of menthol. The enveloping palate shows flair and finesse, offering dried black cherry, prune steeped in spirits, cinnamon and licorice set against firm fine-grained tannins. An espresso note lingers on the close.",Bossona Riserva,de Grazia Imports LLC,Dei 2013 Bossona Riserva  (Vino Nobile di Montepulciano),$65, Tuscany,92,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2013,Dei
49,13.5%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Wild-berry, new leather, truffle and clove aromas take center stage. Smooth and savory, the linear palate shows dried Marasca cherry, mature plum and licorice set against taut refined tannins. Drink through 2025.",Torcalvano,Kobrand,Ambrogio e Giovanni Folonari 2015 Torcalvano  (Vino Nobile di Montepulciano),$26, Tuscany,91,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Ambrogio e Giovanni Folonari
50,14%,"Vino Nobile di Montepulciano, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Leather, graphite, crushed herb and spiced plum aromas lead the nose. The aromas follow over to the palate along with dried cherry, oak and star anise while polished tannins lend support. Drink through 2025.",Pagliareto,Wooden Ships,Lunadoro 2015 Pagliareto  (Vino Nobile di Montepulciano),$40, Tuscany,90,Vino Nobile di Montepulciano,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Lunadoro
51,13.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,3/1/2019,"Earthy and savory, this opens with aromas of black-skinned berry, pressed violet, baking spice and a whiff of sunbaked earth. The aromas follow over to the easygoing generous palate along with ripe plum and clove. Enjoy through 2022.",Obvius,Massanois Imports,Salcheto 2017 Obvius Sangiovese (Toscana),$19, Tuscany,90,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2017,Salcheto
