beef,beef,,,,,,
beet,beet,,,,,,
bell pepper,bell pepper,,,,,,
berri,berri,,,,,,
berri aroma,berri aroma,,,,,,
berri cassi,berri cassi,,,,,,
berri cherri,cherri berri,,,,,,
berri currant,berri currant,,,,,,
berri flavor,berri,,,,,,
berri fruit,berri fruit,,,,,,
berri plum,plum berri,,,,,,
berri spice,berri spice,,,,,,
bite,bite,,,,,,
bitter,bitter,,,,,,
bitter chocol,bitter chocol,,,,,,
bitter finish,bitter finish,,,,,,
bittersweet,bittersweet,,,,,,
blackberri,blackberri,,,,,,
blackberri aroma,blackberri aroma,,,,,,
blackberri blueberri,blueberri blackberri,,,,,,
blackberri cassi,blackberri cassi,,,,,,
blackberri cherri,cherri blackberri,,,,,,
blackberri chocol,blackberri chocol,,,,,,
blackberri currant,blackberri currant,,,,,,
blackberri flavor,flavor blackberri,,,,,,
blackberri fruit,blackberri fruit,,,,,,
blackberri jam,blackberri jam,,,,,,
blackberri plum,plum blackberri,,,,,,
blackcherri,blackcherri,,,,,,
blackcherri fruit,blackcherri fruit,,,,,,
blackcurr,blackcurr,,,,,,
blackfruit,blackfruit,,,,,,
blackfruit aroma,blackfruit aroma,,,,,,
blackfruit flavor,flavor blackfruit,,,,,,
blossom,blossom,,,,,,
blue,blue,,,,,,
blue flower,blue flower,,,,,,
blue fruit,blue fruit,,,,,,
blueberri,blueberri,,,,,,
blueberri blackberri,blueberri blackberri,,,,,,
blueberri fruit,blueberri fruit,,,,,,
bold,bold,,,,,,
bone dri,bonedri,,,,,,
bonedri,bonedri,,,,,,
bouquet,bouquet,,,,,,
boysenberri,boysenberri,,,,,,
brambl,brambl,,,,,,
bread,bread,,,,,,
bright,bright,,,,,,
bright acid,bright acid,,,,,,
bright berri,bright berri,,,,,,
bright cherri,bright cherri,,,,,,
bright fruit,bright fruit,,,,,,
brioch,brioch,,,,,,
brisk acid,high acid,,,,,,
brown,brown,,,,,,
brown sugar,brown sugar,,,,,,
burnt,burnt,,,,,,
burnt banana,burnt banana,,,,,,
burnt toast,burnt toast,,,,,,
butter,butter,,,,,,
butter popcorn,butter popcorn,,,,,,
butter toast,butter toast,,,,,,
butteri,butteri,,,,,,
butterscotch,butterscotch,,,,,,
cake,cake,,,,,,
candi,candi,,,,,,
candi flavor,flavor candi,,,,,,
candi fruit,candi fruit,,,,,,
caramel,caramel,,,,,,
cardamom,cardamom,,,,,,
cassi,cassi,,,,,,
cassi aroma,cassi aroma,,,,,,
cassi cherri,cherri cassi,,,,,,
cassi chocol,cassi chocol,,,,,,
cassi flavor,flavor cassi,,,,,,
cassi fruit,cassi fruit,,,,,,
cedar,cedar,,,,,,
cedar flavor,flavor cedar,,,,,,
cedari,cedar,,,,,,
celeri,celeri,,,,,,
chalk,chalk,,,,,,
chalki,chalk,,,,,,
chalki tannin,chalki tannin,,,,,,
chard,chard,,,,,,
cherri,cherri,,,,,,
cherri aroma,cherri aroma,,,,,,
cherri berri,cherri berri,,,,,,
cherri blackberri,cherri blackberri,,,,,,
cherri blueberri,cherri blueberri,,,,,,
cherri candi,cherri candi,,,,,,
cherri cassi,cherri cassi,,,,,,
cherri chocol,cherri chocol,,,,,,
cherri clove,cherri clove,,,,,,
cherri cocoa,cherri cocoa,,,,,,
cherri coffe,cherri coffe,,,,,,
cherri cola,cola cherri,,,,,,
cherri cranberri,cranberri cherri,,,,,,
cherri crush,cherri crush,,,,,,
cherri currant,currant cherri,,,,,,
cherri flavor,flavor cherri,,,,,,
cherri fruit,fruit cherri,,,,,,
cherri herb,cherri herb,,,,,,
cherri jam,cherri jam,,,,,,
cherri leather,cherri leather,,,,,,
cherri licor,cherri licor,,,,,,
cherri licoric,cherri licoric,,,,,,
cherri mocha,cherri mocha,,,,,,
cherri note,note cherri,,,,,,
cherri pie,pie cherri,,,,,,
cherri plum,plum cherri,,,,,,
cherri pomegran,cherri pomegran,,,,,,
cherri raspberri,raspberri cherri,,,,,,
cherri spice,cherri spice,,,,,,
cherri strawberri,strawberri cherri,,,,,,
cherri tobacco,cherri tobacco,,,,,,
cherri vanilla,cherri vanilla,,,,,,
cherryberri,cherri berri,,,,,,
chewi tannin,chewi tannin,,,,,,
chocol,chocol,,,,,,
chocol finish,chocol finish,,,,,,
chocol flavor,flavor chocol,,,,,,
chocol spice,chocol spice,,,,,,
chocolati,chocol,,,,,,
chop herb,chop herb,,,,,,
cigar,cigar,,,,,,
cigar box,cigar box,,,,,,
cinnamon,cinnamon,,,,,,
cinnamon clove,cinnamon clove,,,,,,
cinnamon spice,cinnamon spice,,,,,,
citric,citrus,,,,,,
citrus,citrus,,,,,,
citrus appl,citrus appl,,,,,,
citrus aroma,citrus aroma,,,,,,
citrus flavor,flavor citrus,,,,,,
citrus fruit,fruit citrus,,,,,,
citrus note,citrus note,,,,,,
citrus peel,citrus peel,,,,,,
citrus rind,citrus rind,,,,,,
citrus tropic,citrus tropic,,,,,,
citrus zest,citrus zest,,,,,,
citrusi,citrus,,,,,,
citrusi acid,citrusi acid,,,,,,
clay,clay,,,,,,
clean,clean,,,,,,
clean crisp,crisp clean,,,,,,
clean finish,finish clean,,,,,,
clean fresh,fresh clean,,,,,,
clove,clove,,,,,,
cocoa,cocoa,,,,,,
cocoa flavor,flavor cocoa,,,,,,
coconut,coconut,,,,,,
coff,coffe,,,,,,
coffe,coffe,,,,,,
coffe bean,coffe bean,,,,,,
coffe chocol,coffe chocol,,,,,,
coffe flavor,flavor coffe,,,,,,
cola,cola,,,,,,
cola cherri,cola cherri,,,,,,
cola flavor,flavor cola,,,,,,
cola spice,cola spice,,,,,,
compost,compost,,,,,,
compot,compot,,,,,,
concentr,concentr,,,,,,
concentr fruit,fruit concentr,,,,,,
cooki,cooki,,,,,,
corn,corn,,,,,,
crack pepper,crack pepper,,,,,,
cracker,cracker,,,,,,
cranberri,cranberri,,,,,,
cranberri cherri,cranberri cherri,,,,,,
cranberri flavor,flavor cranberri,,,,,,
cranberri fruit,cranberri fruit,,,,,,
cranberri raspberri,cranberri raspberri,,,,,,
cream,cream,,,,,,
creami,creami,,,,,,
creami textur,creami textur,,,,,,
crisp,crisp,,,,,,
crisp acid,crisp acid,,,,,,
crisp appl,crisp appl,,,,,,
crisp clean,crisp clean,,,,,,
crisp finish,finish crisp,,,,,,
crisp fresh,fresh crisp,,,,,,
crisp fruit,fruit crisp,,,,,,
crisp miner,crisp miner,,,,,,
crispli,crispli,,,,,,
crunchi,crunchi,,,,,,
crush,crush,,,,,,
crush raspberri,crush raspberri,,,,,,
crush stone,crush stone,,,,,,
curd,curd,,,,,,
cure meat,cure meat,,,,,,
currant,currant,,,,,,
currant cedar,currant cedar,,,,,,
currant cherri,currant cherri,,,,,,
currant chocol,currant chocol,,,,,,
currant cola,currant cola,,,,,,
currant dark,currant dark,,,,,,
currant flavor,flavor currant,,,,,,
currant fruit,currant fruit,,,,,,
currant licoric,currant licoric,,,,,,
currant mocha,currant mocha,,,,,,
currant plum,plum currant,,,,,,
custard,custard,,,,,,
dark,dark,,,,,,
dark berri,dark berri,,,,,,
dark cherri,dark cherri,,,,,,
dark chocol,dark chocol,,,,,,
dark color,dark color,,,,,,
dark fruit,dark fruit,,,,,,
dark plum,dark plum,,,,,,
dark spice,dark spice,,,,,,
darker,dark,,,,,,
darkfruit,dark fruit,,,,,,
dens,dens,,,,,,
densiti,dens,,,,,,
dill,dill,,,,,,
dr pepper,dr pepper,,,,,,
dri,dri,,,,,,
dri apricot,dri apricot,,,,,,
dri cherri,dri cherri,,,,,,
dri fruit,dri fruit,,,,,,
dri herb,dri herb,,,,,,
dri spice,dri spice,,,,,,
dri tannin,dri tannin,,,,,,
drier,dri,,,,,,
drink fresh,drink fresh,,,,,,
drink light,drink light,,,,,,
drink ripe,drink ripe,,,,,,
drink soft,drink soft,,,,,,
dryness,dri,,,,,,
dust,dust,,,,,,
dusti miner,dusti miner,,,,,,
dusti tannin,dusti tannin,,,,,,
earth,earth,,,,,,
earthi,earth,,,,,,
earthi aroma,earthi aroma,,,,,,
earthi flavor,flavor earthi,,,,,,
earthi note,earthi note,,,,,,
earthier,earth,,,,,,
elderberri,elderberri,,,,,,
espresso,espresso,,,,,,
eucalyptus,eucalyptus,,,,,,
exot spice,exot spice,,,,,,
fat,fat,,,,,,
fennel,fennel,,,,,,
fig,fig,,,,,,
fine acid,fine acid,,,,,,
fine tannin,tannin fine,,,,,,
finegrain tannin,finegrain tannin,,,,,,
finish acid,finish acid,,,,,,
finish bright,finish bright,,,,,,
finish clean,finish clean,,,,,,
finish crisp,finish crisp,,,,,,
finish fresh,fresh finish,,,,,,
finish light,finish light,,,,,,
finish linger,finish linger,,,,,,
finish rich,finish rich,,,,,,
finish ripe,finish ripe,,,,,,
finish smooth,smooth finish,,,,,,
finish soft,finish soft,,,,,,
finish spici,finish spici,,,,,,
finish sweet,sweet finish,,,,,,
firm,firm,,,,,,
firm acid,firm acid,,,,,,
firm structur,firm structur,,,,,,
firm tannic,tannin firm,,,,,,
firm tannin,tannin firm,,,,,,
flavor acid,flavor acid,,,,,,
flavor appl,flavor appl,,,,,,
flavor bake,flavor bake,,,,,,
flavor balanc,flavor balanc,,,,,,
flavor berri,flavor berri,,,,,,
flavor blackberri,flavor blackberri,,,,,,
flavor cherri,flavor cherri,,,,,,
flavor citrus,flavor citrus,,,,,,
flavor concentr,flavor concentr,,,,,,
flavor crisp,flavor crisp,,,,,,
flavor currant,flavor currant,,,,,,
flavor dark,flavor dark,,,,,,
flavor firm,flavor firm,,,,,,
flavor fresh,fresh flavor,,,,,,
flavor fruit,fruit flavor,,,,,,
flavor fullbodi,flavor fullbodi,,,,,,
flavor herbal,herbal flavor,,,,,,
flavor lemon,lemon flavor,,,,,,
flavor light,flavor light,,,,,,
flavor linger,flavor linger,,,,,,
flavor melon,malon flavor,,,,,,
flavor peach,peach flavor,,,,,,
flavor pear,pear flavor,,,,,,
flavor pineappl,pineappl flavor,,,,,,
flavor plum,plum flavor,,,,,,
flavor raspberri,raspberri flavor,,,,,,
flavor rich,rich flavor,,,,,,
flavor smooth,flavor smooth,,,,,,
flavor soft,flavor soft,,,,,,
flavor spice,spice flavor,,,,,,
flavor spici,flavor spici,,,,,,
flavor sweet,sweet flavor,,,,,,
flavor tannin,tannin flavor,,,,,,
flavor vanilla,vanilla flavor,,,,,,
flint,flint,,,,,,
flinti,flint,,,,,,
floral,floral,,,,,,
floral aroma,floral aroma,,,,,,
floral note,floral note,,,,,,
flower,floral,,,,,,
forest,forest,,,,,,
forest berri,forest berri,,,,,,
forest floor,forest floor,,,,,,
fragrant,fragrant,,,,,,
fresh,fresh,,,,,,
fresh acid,fresh acid,,,,,,
fresh appl,fresh appl,,,,,,
fresh clean,fresh clean,,,,,,
fresh crisp,fresh crisp,,,,,,
fresh finish,fresh finish,,,,,,
fresh flavor,fresh flavor,,,,,,
fresh fruit,fruit fresh,,,,,,
fresh fruiti,fresh fruiti,,,,,,
fresh herb,fresh herb,,,,,,
fruit,fruit,,,,,,
fruit accent,fruit accent,,,,,,
fruit acid,fruit acid,,,,,,
fruit aroma,fruit aroma,,,,,,
fruit balanc,fruit balanc,,,,,,
fruit charact,fruit charact,,,,,,
fruit cherri,fruit cherri,,,,,,
fruit citrus,fruit citrus,,,,,,
fruit concentr,fruit concentr,,,,,,
fruit core,fruit core,,,,,,
fruit crisp,fruit crisp,,,,,,
fruit finish,fruit finish,,,,,,
fruit firm,fruit firm,,,,,,
fruit flavor,fruit flavor,,,,,,
fruit fresh,fruit fresh,,,,,,
fruit herb,fruit herb,,,,,,
fruit hint,fruit hint,,,,,,
fruit light,light fruit,,,,,,
fruit miner,fruit miner,,,,,,
fruit nose,fruit nose,,,,,,
fruit note,fruit note,,,,,,
fruit palat,fruit palat,,,,,,
fruit rich,rich fruit,,,,,,
fruit ripe,ripe fruit,,,,,,
fruit soft,fruit soft,,,,,,
fruit spice,spice fruit,,,,,,
fruit structur,fruit structur,,,,,,
fruit sweet,sweet fruit,,,,,,
fruit tannin,tannin fruit,,,,,,
fruit touch,fruit touch,,,,,,
fruit vanilla,fruit vanilla,,,,,,
fruitdriven,fruitdriven,,,,,,
fruitforward,fruitdriven,,,,,,
fruiti,fruitdriven,,,,,,
fruiti flavor,fruitdriven,,,,,,
fudg,fruitdriven,,,,,,
fullbodi,fruitdriven,,,,,,
fullbodi palat,fruitdriven,,,,,,
fullbodi rich,fruitdriven,,,,,,
gami,gami,,,,,,
generous fruit,generous fruit,,,,,,
ginger,ginger,,,,,,
gold,gold,,,,,,
golden,gold,,,,,,
golden appl,golden appl,,,,,,
gooseberri,gooseberri,,,,,,
graham cracker,graham cracker,,,,,,
grain,grain,,,,,,
graini,graini,,,,,,
grape,grapi,,,,,,
grapi,grapi,,,,,,
grapefruit,grapefruit,,,,,,
grapefruit flavor,grapefruit flavor,,,,,,
graphit,graphit,,,,,,
grass,grass,,,,,,
grassi,grass,,,,,,
gravel,gravel,,,,,,
green,green,,,,,,
grill,grill,,,,,,
grill herb,grill herb,,,,,,
grill meat,grill meat,,,,,,
gritti,gritti,,,,,,
ground pepper,ground pepper,,,,,,
guava,guava,,,,,,
ham,ham,,,,,,
hard tannin,hard tannin,,,,,,
harsh,harsh,,,,,,
hay,hay,,,,,,
hazelnut,hazelnut,,,,,,
headi,headi,,,,,,
hearti,hearti,,,,,,
heat,heat,,,,,,
heavi,heavi,,,,,,
herb,herb,,,,,,
herb aroma,herb aroma,,,,,,
herb flavor,herb flavor,,,,,,
herb note,herb note,,,,,,
herb spice,herb spice,,,,,,
herbac,herbac,,,,,,
herbal,herbal,,,,,,
herbal berri,herbal berri,,,,,,
herbal flavor,herbal flavor,,,,,,
herbal note,herbal note,,,,,,
hibiscus,hibiscus,,,,,,
hickori,hickori,,,,,,
hint vanilla,hint vanilla,,,,,,
honey,honey,,,,,,
honey flavor,honey flavor,,,,,,
honeydew,honeydew,,,,,,
honeysuckl,honeysuckl,,,,,,
hot,hot,,,,,,
indian spice,indian spice,,,,,,
intens acid,high acid,,,,,,
iron,iron,,,,,,
jam,jam,,,,,,
jam flavor,jam flavor,,,,,,
jammi,jam,,,,,,
jammi blackberri,jammi blackberri,,,,,,
jammi fruit,jammi fruit,,,,,,
jammi raspberri,jammi raspberri,,,,,,
jasmin,jasmin,,,,,,
jelli,jelli,,,,,,
juici,juici,,,,,,
juici acid,juici acid,,,,,,
juici cherri,juici cherri,,,,,,
juici fruit,juici fruit,,,,,,
juici palat,juici palat,,,,,,
junip,junip,,,,,,
kiwi,kiwi,,,,,,
lavend,lavend,,,,,,
lead,lead,,,,,,
leaf,leaf,,,,,,
leafi,leaf,,,,,,
leather,leather,,,,,,
leather tobacco,leather tobacco,,,,,,
leatheri,leather,,,,,,
lemon,lemon,,,,,,
lemon appl,lemon appl,,,,,,
lemon curd,lemon curd,,,,,,
lemon flavor,lemon flavor,,,,,,
lemon grapefruit,lemon grapefruit,,,,,,
lemon lime,lemon lime,,,,,,
lemon peel,lemon peel,,,,,,
lemon zest,lemon zest,,,,,,
lemongrass,lemongrass,,,,,,
lemoni,lemon,,,,,,
lemoni acid,lemoni acid,,,,,,
lemonlim,lemon lime,,,,,,
lemonlim acid,lemonlim acid,,,,,,
licor,licoric,,,,,,
licoric,licoric,,,,,,
licoric flavor,licoric flavor,,,,,,
light bodi,light bodi,,,,,,
light color,light color,,,,,,
light fresh,light fresh,,,,,,
light fruit,light fruit,,,,,,
light fruiti,light fruiti,,,,,,
light herbal,light herbal,,,,,,
light tannin,light tannin,,,,,,
light textur,light textur,,,,,,
lightbodi,light bodi,,,,,,
lightweight,light bodi,,,,,,
lilac,lilac,,,,,,
lime,lime,,,,,,
lych,lyche,,,,,,
lyche,lyche,,,,,,
mandarin,mandarin,,,,,,
mango,mango,,,,,,
mapl,mapl,,,,,,
marmalad,marmalad,,,,,,
marshmallow,marshmallow,,,,,,
marzipan,marzipan,,,,,,
meat,meat,,,,,,
meati,meat,,,,,,
medicin,medicin,,,,,,
medium bodi,medium bodi,,,,,,
medium weight,medium weight,,,,,,
mediumbodi,medium bodi,,,,,,
mediumbodi palat,mediumbodi palat,,,,,,
mediumsweet,mediumsweet,,,,,,
mediumweight,medium bodi,,,,,,
mellow,mellow,,,,,,
melon,melon,,,,,,
melon appl,melon appl,,,,,,
melon flavor,melon flavor,,,,,,
menthol,menthol,,,,,,
meyer lemon,meyer lemon,,,,,,
mild,mild,,,,,,
milk,milk,,,,,,
milk chocol,milk chocol,,,,,,
miner,miner,,,,,,
miner charact,miner charact,,,,,,
miner finish,miner finish,,,,,,
miner flavor,miner flavor,,,,,,
miner note,miner note,,,,,,
miner textur,miner textur,,,,,,
miner tone,miner tone,,,,,,
mint,mint,,,,,,
minti,mint,,,,,,
mix berri,mix berri,,,,,,
mix fruit,mix fruit,,,,,,
mocha,mocha,,,,,,
mocha flavor,mocha flavor,,,,,,
molass,molass,,,,,,
mulberri,mulberri,,,,,,
muscular,muscular,,,,,,
mushroom,mushroom,,,,,,
mushroomi,mushroom,,,,,,
nectarin,nectarin,,,,,,
nettl,nettl,,,,,,
note cherri,note cherri,,,,,,
note fresh,note fresh,,,,,,
note vanilla,vanilla note,,,,,,
nut,nut,,,,,,
nutmeg,nutmeg,,,,,,
nutti,nut,,,,,,
oak,oak,,,,,,
oaki,oak,,,,,,
oil,oil,,,,,,
oili,oil,,,,,,
oliv,oliv,,,,,,
orang,orang,,,,,,
oregano,oregano,,,,,,
overrip,overrip,,,,,,
palat fresh,palat fresh,,,,,,
palat light,palat light,,,,,,
palat ripe,palat ripe,,,,,,
palat soft,palat soft,,,,,,
pale,pale,,,,,,
papaya,papaya,,,,,,
passion fruit,passion fruit,,,,,,
pastri,pastri,,,,,,
pea,pea,,,,,,
peach,peach,,,,,,
peach appl,peach appl,,,,,,
peach apricot,peach apricot,,,,,,
peach citrus,peach citrus,,,,,,
peach flavor,peach flavor,,,,,,
peach fruit,peach fruit,,,,,,
peach melon,peach melon,,,,,,
peach pear,pear peach,,,,,,
peach pineappl,pineappl peach,,,,,,
peachi,peach,,,,,,
pear,pear,,,,,,
pear appl,pear appl,,,,,,
pear flavor,pear flavor,,,,,,
pear fruit,pear fruit,,,,,,
pear melon,pear melon,,,,,,
pear peach,pear peach,,,,,,
pencil,pencil,,,,,,
pencil lead,pencil lead,,,,,,
pencil shave,pencil shave,,,,,,
pepper,pepper,,,,,,
pepper finish,pepper finish,,,,,,
pepper flavor,pepper flavor,,,,,,
pepper note,pepper note,,,,,,
pepper spice,pepper spice,,,,,,
peppercorn,peppercorn,,,,,,
pepperi,pepperi,,,,,,
pepperi spice,pepperi spice,,,,,,
perfum,perfum,,,,,,
persimmon,persimmon,,,,,,
petal,petal,,,,,,
petrol,petrol,,,,,,
pickl,pickl,,,,,,
pie,pie,,,,,,
pie cherri,pie cherri,,,,,,
pie fill,pie fill,,,,,,
pineappl,pineappl,,,,,,
pineappl appl,pineappl appl,,,,,,
pineappl flavor,pineappl flavor,,,,,,
pineappl fruit,pineappl fruit,,,,,,
pineappl jam,pineappl jam,,,,,,
pineappl peach,pineappl peach,,,,,,
pineappl pear,pineappl pear,,,,,,
pink,pink,,,,,,
pink grapefruit,pink grapefruit,,,,,,
pipe tobacco,pipe tobacco,,,,,,
pith,pith,,,,,,
pithi,pith,,,,,,
plenti acid,high acid,,,,,,
plum,plum,,,,,,
plum aroma,plum aroma,,,,,,
plum berri,plum berri,,,,,,
plum blackberri,plum blackberri,,,,,,
plum cassi,plum cassi,,,,,,
plum cherri,plum cherri,,,,,,
plum currant,plum currant,,,,,,
plum flavor,plum flavor,,,,,,
plum fruit,plum fruit,,,,,,
plum raspberri,raspberri plum,,,,,,
plum skin,plum skin,,,,,,
plummi,plum,,,,,,
plump,plump,,,,,,
polish,polish,,,,,,
polish tannin,polish tannin,,,,,,
pollen,pollen,,,,,,
pomegran,pomegran,,,,,,
popcorn,popcorn,,,,,,
porti,porti,,,,,,
potent,potent,,,,,,
potpourri,potpourri,,,,,,
prune,prune,,,,,,
punch,punch,,,,,,
punchi,punch,,,,,,
pungent,pungent,,,,,,
purpl,purpl,,,,,,
purpl flower,purpl flower,,,,,,
purpl fruit,purpl fruit,,,,,,
raisin,raisin,,,,,,
raisini,raisin,,,,,,
raspberri,raspberri,,,,,,
raspberri aroma,raspberri aroma,,,,,,
raspberri cherri,raspberri cherri,,,,,,
raspberri cola,raspberri cola,,,,,,
raspberri currant,raspberri currant,,,,,,
raspberri flavor,raspberri flavor,,,,,,
raspberri fruit,raspberri fruit,,,,,,
raspberri jam,raspberri jam,,,,,,
raspberri plum,raspberri plum,,,,,,
raspberri strawberri,strawberri raspberri,,,,,,
redberri,redberri,,,,,,
redcherri,redcherri,,,,,,
redfruit,redfruit,,,,,,
redfruit flavor,redfruit flavor,,,,,,
refresh,refresh,,,,,,
refresh acid,refresh acid,,,,,,
residu sugar,residu sugar,,,,,,
resin,resin,,,,,,
resini,resin,,,,,,
rhubarb,rhubarb,,,,,,
rich,rich,,,,,,
rich blackberri,rich blackberri,,,,,,
rich cherri,rich cherri,,,,,,
rich concentr,rich concentr,,,,,,
rich creami,rich creami,,,,,,
rich flavor,rich flavor,,,,,,
rich fruit,rich fruit,,,,,,
rich fruiti,rich fruiti,,,,,,
rich ripe,ripe rich,,,,,,
rich soft,soft rich,,,,,,
rich sweet,rich sweet,,,,,,
rich tannin,tannin rich,,,,,,
rich textur,textur rich,,,,,,
rind,rind,,,,,,
ripe,ripe,,,,,,
ripe appl,ripe appl,,,,,,
ripe berri,ripe berri,,,,,,
ripe blackberri,ripe blackberri,,,,,,
ripe cherri,ripe cherri,,,,,,
ripe flavor,ripe flavor,,,,,,
ripe fruit,ripe fruit,,,,,,
ripe fruiti,ripe fruiti,,,,,,
ripe jammi,ripe jammi,,,,,,
ripe juici,ripe juici,,,,,,
ripe peach,ripe peach,,,,,,
ripe pear,ripe pear,,,,,,
ripe pineappl,ripe pineappl,,,,,,
ripe plum,ripe plum,,,,,,
ripe raspberri,ripe raspberri,,,,,,
ripe rich,ripe rich,,,,,,
ripe sweet,sweet ripe,,,,,,
ripe tannin,tannin ripe,,,,,,
ripe tropic,ripe tropic,,,,,,
ripe yellow,ripe yellow,,,,,,
roast,roast,,,,,,
roast berri,roast berri,,,,,,
roast coffe,roast coffe,,,,,,
roast meat,roast meat,,,,,,
robust,robust,,,,,,
rock,rock,,,,,,
root beer,root beer,,,,,,
rooti,rooti,,,,,,
rosemari,rosemari,,,,,,
rubber,rubber,,,,,,
rubberi,rubber,,,,,,
rubi,rubi,,,,,,
sage,sage,,,,,,
sagebrush,sagebrush,,,,,,
salin,salin,,,,,,
salt,salt,,,,,,
salti,salt,,,,,,
sandalwood,sandalwood,,,,,,
sandalwood flavor,sandalwood flavor,,,,,,
savori,savori,,,,,,
savori flavor,savori flavor,,,,,,
savori herb,savori herb,,,,,,
savori note,savori note,,,,,,
scorch earth,scorch earth,,,,,,
semisweet,semisweet,,,,,,
sharp,sharp,,,,,,
sharp acid,high acid,,,,,,
shine,shine,,,,,,
silki,silki,,,,,,
silki tannin,silki tannin,,,,,,
silki textur,silki textur,,,,,,
slate,slate,,,,,,
smoke,smoke,,,,,,
smoke meat,smoke meat,,,,,,
smoki,smoke,,,,,,
smoki flavor,smoki flavor,,,,,,
smooth,smooth,,,,,,
smooth finish,smooth finish,,,,,,
smooth rich,smooth rich,,,,,,
smooth tannin,smooth tannin,,,,,,
smooth textur,smooth textur,,,,,,
snap,snap,,,,,,
soda,soda,,,,,,
soft,soft,,,,,,
soft acid,soft acid,,,,,,
soft fruiti,soft fruiti,,,,,,
soft rich,soft rich,,,,,,
soft ripe,soft ripe,,,,,,
soft smooth,soft smooth,,,,,,
soft sweet,soft sweet,,,,,,
soft tannic,soft tannic,,,,,,
soft tannin,tannin soft,,,,,,
soft textur,textur soft,,,,,,
soil,soil,,,,,,
solid tannin,solid tannin,,,,,,
sour,sour,,,,,,
sour cherri,sour cherri,,,,,,
soy,soy,,,,,,
sparkl,sparkl,,,,,,
spice,spice,,,,,,
spice aroma,spice aroma,,,,,,
spice drink,spice drink,,,,,,
spice finish,spice finish,,,,,,
spice flavor,spice flavor,,,,,,
spice fruit,spice fruit,,,,,,
spice lead,spice lead,,,,,,
spice leather,spice leather,,,,,,
spice note,spice note,,,,,,
spice palat,spice palat,,,,,,
spice plum,spice plum,,,,,,
spice toast,spice toast,,,,,,
spice vanilla,vanilla spice,,,,,,
spici,spice,,,,,,
spici finish,spice finish,,,,,,
spici flavor,spice flavor,,,,,,
star ani,star anis,,,,,,
star anis,star anis,,,,,,
steeli,steeli,,,,,,
steeli miner,steeli miner,,,,,,
stewi,stewi,,,,,,
stone,stone,,,,,,
stone fruit,stone fruit,,,,,,
stonefruit,stonefruit,,,,,,
stoni,stone,,,,,,
stoni miner,stoni miner,,,,,,
strawberri,strawberri,,,,,,
strawberri cherri,strawberri cherri,,,,,,
strawberri flavor,strawberri flavor,,,,,,
strawberri fruit,strawberri fruit,,,,,,
strawberri raspberri,strawberri raspberri,,,,,,
succul,succul,,,,,,
sugar,sugar,,,,,,
sugari,sugar,,,,,,
superrip,superrip,,,,,,
suppl tannin,suppl tannin,,,,,,
sweet,sweet,,,,,,
sweet cherri,sweet cherri,,,,,,
sweet finish,sweet finish,,,,,,
sweet flavor,sweet flavor,,,,,,
sweet fruit,sweet fruit,,,,,,
sweet ripe,sweet ripe,,,,,,
sweet smoki,sweet smoki,,,,,,
sweet spice,sweet spice,,,,,,
sweet vanilla,sweet vanilla,,,,,,
syrup,syrup,,,,,,
syrupi,syrup,,,,,,
tang,tang,,,,,,
tangerin,tangerin,,,,,,
